Symbol,Date,Open,High,Low,Close,Volume,VBIV SMA,VBIV spanTwelveEMA,VBIV spanTwntySixEMA,VBIV_x,VBIV_y
VBIV,2021-06-21,3.92,3.92,3.91,3.92,35675,3.92,3.800680622542112,3.51027934377897,0.2904012787631416,0.2902268217904758
VBIV,2021-06-18,3.91,3.92,3.9,3.91,188434,3.91,3.778986190277041,3.4775016912812875,0.3014844989957534,0.29018320754730925
VBIV,2021-06-17,3.9,3.9,3.86,3.86,15588,3.86,3.75516549760014,3.4429018265837907,0.3122636710163489,0.2873578846851982
VBIV,2021-06-16,3.94,3.96,3.94,3.95,44056,3.95,3.736104678981983,3.409533972710494,0.3265707062714886,0.28113143810241037
VBIV,2021-06-15,4.0979,4.13,4.0979,4.125,34657,4.125,3.697214620615071,3.3662966905273333,0.3309179300877374,0.26977162106014063
VBIV,2021-06-14,3.91,3.95,3.91,3.93,118668,3.93,3.6194354607269017,3.30560042576952,0.3138350349573815,0.25448504380324133
VBIV,2021-06-11,4.11,4.11,4.06,4.06,37218,4.06,3.5629691808590653,3.255648459831082,0.3073207210279833,0.23964754601470623
VBIV,2021-06-10,3.91,3.92,3.88,3.8962,40237,3.8962,3.4725999410152597,3.191300336617569,0.2812996043976903,0.22272925226138693
VBIV,2021-06-09,3.99,4.05,3.96,4.01,196407,4.01,3.395581748472579,3.1349083635469746,0.2606733849256044,0.20808666422731095
VBIV,2021-06-08,3.62,3.65,3.57,3.65,196611,3.65,3.283869339103957,3.0649010326307327,0.2189683064732248,0.19493998405273757
VBIV,2021-06-07,3.26,3.32,3.26,3.2811,26103,3.2811,3.2173001280319493,3.018093115241191,0.1992070127907581,0.18893290344761587
VBIV,2021-06-04,3.35,3.36,3.35,3.3599,27365,3.3599,3.2057001513104857,2.9970525644604864,0.2086475868499993,0.1863643761118303
VBIV,2021-06-03,3.45,3.4642,3.44,3.45,55629,3.45,3.17766381518512,2.968024769617325,0.2096390455677945,0.18079357342728805
VBIV,2021-06-02,3.35,3.35,3.33,3.34,6552,3.34,3.128148145218778,2.929466751186711,0.1986813940320666,0.1735822053921613
VBIV,2021-06-01,3.25,3.2518,3.23,3.23,30380,3.23,3.089629626167647,2.896624091281648,0.1930055348859989,0.16730740823218493
VBIV,2021-06-01,3.25,3.2518,3.23,3.23,30380,3.23,3.06410774001631,2.8699540185841803,0.1941537214321296,0.1608828765687314
VBIV,2021-05-28,3.34,3.34,3.3,3.3,31068,3.3,3.0339455109283664,2.841150340070915,0.1927951708574515,0.15256516535288184
VBIV,2021-05-27,3.21,3.21,3.19,3.2009,27253,3.2009,2.985571967460797,2.804442367276588,0.1811296001842084,0.14250766397673942
VBIV,2021-05-26,3.05,3.05,3.02,3.02,39828,3.02,2.9464214160900326,2.772725756658715,0.1736956594313174,0.13285217992487203
VBIV,2021-05-25,3.11,3.115,3.09,3.1,67906,3.1,2.9330434917427657,2.7529438171914125,0.1800996745513532,0.12264131004826065
VBIV,2021-05-24,3.21,3.25,3.21,3.21,42940,3.21,2.902687762968723,2.725179322566725,0.1775084404019979,0.1082767189224875
VBIV,2021-05-21,3.22,3.24,3.21,3.24,59823,3.24,2.846812810781218,2.6863936683720637,0.1604191424091547,0.09096878855260987
VBIV,2021-05-20,3.08,3.08,3.06,3.07,27249,3.07,2.7753242309232578,2.6421051618418288,0.133219069081429,0.07360620008847375
VBIV,2021-05-19,2.99,3.04,2.97,2.98,40987,2.98,2.72174681836385,2.607873574789175,0.1138732435746749,0.05870298284023494
VBIV,2021-05-18,2.9708,2.99,2.96,2.98,65151,2.98,2.674791694430005,2.578103460772309,0.0966882336576961,0.04491041765662493
VBIV,2021-05-17,2.8679,2.9,2.82,2.8389,58322,2.8389,2.619299275235461,2.545951737634093,0.0733475376013674,0.031965963656357115
VBIV,2021-05-14,2.6846,2.74,2.68,2.71,40708,2.71,2.579371870732817,2.522515876644821,0.0568559940879969,0.021620570170104412
VBIV,2021-05-13,2.86,2.89,2.84,2.87,53681,2.87,2.555621301775148,2.507517146776406,0.0481041549987417,0.012811714190631509
VBIV,2021-05-12,2.73,2.73,2.69,2.71,40572,2.71,2.4984615384615383,2.4785185185185186,0.0199430199430197,0.003988603988603945
VBIV,2021-05-11,2.54,2.5431,2.45,2.46,176272,2.46,2.46,2.46,0.0,0.0
