Symbol,Date,Open,High,Low,Close,Volume,GALT SMA,GALT spanTwelveEMA,GALT spanTwntySixEMA,GALT_x,GALT_y
GALT,2021-06-21,3.14,3.14,3.0616,3.102,12803,3.102,3.607883081893296,3.773291445853063,-0.165408363959767,-0.06838159591228583
GALT,2021-06-18,3.3,3.3,3.3,3.3,39000,3.3,3.699861824055713,3.826994761521308,-0.1271329374655945,-0.04412490390041554
GALT,2021-06-17,3.47,3.47,3.47,3.47,2390,3.47,3.772563973884025,3.869154342443012,-0.0965903685589872,-0.023372895509120684
GALT,2021-06-16,3.46,3.48,3.45,3.45,9411,3.45,3.8275756054993018,3.901086689838453,-0.0735110843391515,-0.00506852724665403
GALT,2021-06-15,3.63,3.67,3.63,3.67,10470,3.67,3.896225715590084,3.9371736250255296,-0.0409479094354456,0.012042112026470238
GALT,2021-06-14,3.7,3.745,3.7,3.745,4276,3.745,3.93735766387919,3.958547515027572,-0.0211898511483821,0.025289617391949216
GALT,2021-06-11,3.79,3.82,3.79,3.8,2738,3.8,3.972331784584497,3.9756313162297774,-0.0032995316452804,0.03690948452703205
GALT,2021-06-10,3.88,3.88,3.88,3.88,1730,3.88,4.0036648363271325,3.98968182152816,0.0139830147989727,0.04696173857011016
GALT,2021-06-09,4.05,4.05,4.0058,4.0388,6608,4.0388,4.026149352022975,3.9984563672504128,0.0276929847725626,0.055206419512894615
GALT,2021-06-08,3.97,3.98,3.9597,3.98,4526,3.98,4.023849234208971,3.9952288766304456,0.0286203575785251,0.0620847781979776
GALT,2021-06-07,3.88,3.89,3.88,3.89,1266,3.89,4.0318218222469655,3.996447186760881,0.0353746354860842,0.07045088335284072
GALT,2021-06-04,4.02,4.02,4.02,4.02,2275,4.02,4.05760760811005,4.004962961701752,0.0526446464082983,0.07921994531952972
GALT,2021-06-03,4.0,4.045,4.0,4.045,4146,4.045,4.06444535503915,4.003759998637892,0.0606853564012581,0.08586377004733756
GALT,2021-06-02,4.02,4.02,4.02,4.02,3209,4.02,4.067980874137177,4.000460798528923,0.0675200756082539,0.09215837345885741
GALT,2021-06-01,3.99,4.08,3.99,4.08,5647,4.08,4.076704669434847,3.998897662411237,0.0778070070236092,0.09831794792150828
GALT,2021-06-01,3.99,4.08,3.99,4.08,5647,4.08,4.076105518423001,3.992409475404136,0.0836960430188646,0.10344568314598271
GALT,2021-05-28,4.07,4.0931,4.07,4.0931,2308,4.0931,4.0753974308635454,3.9854022334364663,0.0899951974270787,0.10838309317776221
GALT,2021-05-27,4.1,4.1,4.075,4.075,4334,4.075,4.072178781929645,3.976786412111384,0.0953923698182603,0.11298006711543296
GALT,2021-05-26,3.82,3.82,3.78,3.78,11266,3.78,4.07166583318958,3.9689293250802953,0.1027365081092845,0.11737699143972598
GALT,2021-05-25,4.03,4.07,4.03,4.07,6381,4.07,4.124695984678595,3.9840436710867193,0.1406523135918753,0.12103711227233632
GALT,2021-05-24,4.26,4.26,4.25,4.25,7877,4.25,4.134640709165612,3.977167164773657,0.1574735443919546,0.11613331194245155
GALT,2021-05-21,4.35,4.42,4.2789,4.32,13799,4.32,4.113666292650268,3.9553405379555495,0.1583257546947183,0.10579825383007577
GALT,2021-05-20,4.18,4.18,4.18,4.18,3644,4.18,4.076151073132134,3.9261677809919937,0.1499832921401407,0.09266637861391513
GALT,2021-05-19,4.45,4.45,4.36,4.36,11750,4.36,4.05726945006525,3.905861203471353,0.1514082465938964,0.07833715023235872
GALT,2021-05-18,4.42,4.46,4.42,4.43,11279,4.43,4.002227531895295,3.8695300997490616,0.1326974321462337,0.06006937614197418
GALT,2021-05-17,4.2,4.2125,4.171,4.171,16615,4.171,3.924450719512622,3.8246925077289866,0.0997582117836355,0.04191236214090929
GALT,2021-05-14,4.2051,4.28,4.2051,4.2235,4542,4.2235,3.8796235776058254,3.7969879083473055,0.0826356692585208,0.027450899730227733
GALT,2021-05-13,4.15,4.22,4.15,4.22,11607,4.22,3.8171005917159766,3.7628669410150897,0.0542336507008869,0.013654707348154674
GALT,2021-05-12,3.84,3.93,3.84,3.93,9109,3.93,3.743846153846154,3.726296296296296,0.0175498575498576,0.0035099715099716103
GALT,2021-05-11,3.73,3.745,3.7,3.71,19268,3.71,3.71,3.71,0.0,0.0
