Symbol,Date,Open,High,Low,Close,Volume,TRCH SMA,TRCH spanTwelveEMA,TRCH spanTwntySixEMA,TRCH_x,TRCH_y
TRCH,2020-09-09,0.2611,0.268,0.2611,0.2677,10138,0.2677,0.2843798248146441,0.3011025309867309,-0.016722706172086876,-0.013633225516450857
TRCH,2020-09-08,0.27,0.27,0.26,0.26000100000000004,98531,0.26000100000000004,0.2874125202354885,0.3037747334656694,-0.016362213230180944,-0.012860855352541863
TRCH,2020-09-08,0.27,0.27,0.26,0.26000100000000004,98531,0.26000100000000004,0.2923964330055773,0.3072766321429229,-0.014880199137345671,-0.011985515883132104
TRCH,2020-09-04,0.27899999999999997,0.2798,0.271,0.2748,54709,0.27480000000000004,0.2982865117338641,0.3110586827143568,-0.012772170980492714,-0.01126184506957874
TRCH,2020-09-03,0.29,0.292299,0.28,0.284,74575,0.284,0.3025567865945666,0.3139593773315053,-0.011402590736938722,-0.010884263591850246
TRCH,2020-09-02,0.29,0.29,0.2811,0.2897,150958,0.2897,0.3059307477935787,0.3163561275180257,-0.010425379724447015,-0.010754681805578125
TRCH,2020-09-01,0.308,0.3081,0.2988,0.2988,198928,0.2988,0.30888179284695666,0.3184886177194678,-0.009606824872511131,-0.010837007325860902
TRCH,2020-08-31,0.31,0.3151,0.3031,0.309799,410831,0.309799,0.3107148460918579,0.3200637071370252,-0.0093488610451673,-0.011144552939198343
TRCH,2020-08-28,0.34,0.3589,0.3103,0.314799,1782424,0.314799,0.3108813635631048,0.32088488370798723,-0.010003520144882427,-0.0115934759127061
TRCH,2020-08-27,0.313,0.313,0.3031,0.30591,279021,0.30591,0.31016906602912386,0.32137175440462623,-0.01120268837550237,-0.011990964854662018
TRCH,2020-08-26,0.306,0.31,0.306,0.3095,68735,0.3095,0.31094344167078275,0.32260869475699633,-0.011665253086213578,-0.01218803397445193
TRCH,2020-08-25,0.315,0.315,0.3,0.305,150354,0.30500000000000005,0.3112058856109251,0.32365739033755603,-0.012451504726630924,-0.012318729196511516
TRCH,2020-08-24,0.32,0.325,0.307,0.308,134510,0.308,0.3123342284492752,0.3251499815645605,-0.012815753115285322,-0.012285535313981664
TRCH,2020-08-21,0.3,0.307,0.29251,0.2949,38141,0.2949,0.31312226998550696,0.3265219800897253,-0.013399710104218364,-0.01215298086365576
TRCH,2020-08-20,0.3,0.3046,0.3,0.3,82700,0.3,0.3164354099828719,0.3290517384969033,-0.01261632851403144,-0.011841298553515109
TRCH,2020-08-19,0.3034,0.3101,0.3002,0.30171,54601,0.30171,0.3194236663433941,0.33137587757665565,-0.011952211233261569,-0.01164754106338604
TRCH,2020-08-18,0.32,0.32095100000000004,0.309,0.31,240894,0.31,0.3226443329512839,0.3337491477827881,-0.011104814831504215,-0.011571373520917156
TRCH,2020-08-17,0.345,0.345,0.3081,0.3081,455686,0.3081,0.3249433025787901,0.3356490796054112,-0.010705777026621122,-0.011688013193270404
TRCH,2020-08-14,0.31,0.32,0.306,0.316,175902,0.316,0.3280057212294792,0.33785300597384404,-0.00984728474436486,-0.011933572234932736
TRCH,2020-08-13,0.4198,0.4198,0.35,0.38299999999999995,2042698,0.38299999999999995,0.33018857963483905,0.33960124645175155,-0.009412666816912496,-0.012455144107574704
TRCH,2020-08-12,0.3149,0.315,0.31,0.31,66000,0.31,0.3205865032048098,0.33612934616789164,-0.015542842963081838,-0.013215763430240253
TRCH,2020-08-11,0.3161,0.3194,0.3013,0.3082,142095,0.3082,0.32251132196932064,0.3382196938613229,-0.015708371892002304,-0.012633993547029855
TRCH,2020-08-10,0.3151,0.3151,0.306,0.30990100000000004,167882,0.30990100000000004,0.3251133805091971,0.34062126937022874,-0.01550788886103166,-0.011865398960786755
TRCH,2020-08-07,0.311,0.3111,0.302,0.302,90753,0.302,0.3278792678745057,0.34307889091984706,-0.015199623045341391,-0.010954776485725527
TRCH,2020-08-06,0.32,0.32,0.3169,0.3197,87338,0.31969999999999993,0.332584589306234,0.3463652021934348,-0.013780612887200838,-0.009893564845821573
TRCH,2020-08-05,0.3343,0.335,0.3245,0.3261,100381,0.32609999999999995,0.33492724190736745,0.3484984183689096,-0.013571176461542156,-0.00892180283547677
TRCH,2020-08-04,0.3199,0.32,0.312,0.3141,44253,0.3140999999999999,0.3365321949814343,0.3502902918384224,-0.013758096856988087,-0.0077594594289604225
TRCH,2020-08-03,0.3199,0.32,0.3108,0.31351999999999997,74876,0.31351999999999985,0.3406107758871496,0.3531855151854962,-0.012574739298346571,-0.006259800071953491
TRCH,2020-07-31,0.3248,0.327,0.3104,0.31895,54773,0.3189499999999999,0.34553637150299504,0.3563587564003359,-0.010822384897340831,-0.00468106526535522
TRCH,2020-07-30,0.3175,0.325,0.3106,0.3149,90844,0.3148999999999999,0.35037025723081233,0.3593514569123627,-0.008981199681550367,-0.0031457353573588168
TRCH,2020-07-29,0.32,0.3249,0.305,0.315,145439,0.3149999999999999,0.35681939490914183,0.3629075734653517,-0.006088178556209911,-0.001686869276310929
TRCH,2020-07-28,0.35,0.36,0.3479,0.3479,132677,0.3478999999999998,0.3644229212562585,0.3667401793425799,-0.0023172580863213828,-0.000586541956336197
TRCH,2020-07-27,0.368,0.368,0.35501,0.3581,39738,0.3580999999999997,0.3674270887573965,0.3682473936899863,-0.0008203049325897771,-0.00015386292383990033
TRCH,2020-07-24,0.355,0.37,0.355,0.369799,67202,0.36979899999999977,0.3691229230769231,0.3690591851851852,6.373789173785838e-05,1.2747578347582778e-05
