Symbol,Date,Open,High,Low,Close,Volume,SNCR SMA,SNCR spanTwelveEMA,SNCR spanTwntySixEMA,SNCR_x,SNCR_y
SNCR,2021-03-17,4.22,4.22,4.22,4.22,17526,4.22,4.381481769111972,4.545046405233241,-0.1635646361212686,-0.18862328048541366
SNCR,2021-03-16,4.66,4.66,4.66,4.66,2680,4.66,4.410842090768695,4.5710501176519,-0.1602080268832058,-0.1948879415764499
SNCR,2021-03-15,4.58,4.58,4.58,4.58,5077,4.58,4.365540652726639,4.563934127064052,-0.1983934743374131,-0.20355792024976113
SNCR,2021-03-12,4.53,4.53,4.53,4.53,4913,4.53,4.326548044131482,4.562648857229176,-0.2361008130976936,-0.20484903172784813
SNCR,2021-03-11,4.13,4.15,4.13,4.131,7780,4.131,4.289556779428115,4.56526076580751,-0.2757039863793951,-0.19703608638538678
SNCR,2021-03-10,4.04,4.045,4.0,4.045,8719,4.045,4.318385284778682,4.600001627072111,-0.2816163422934297,-0.1773691113868847
SNCR,2021-03-09,3.65,3.65,3.3,3.49,60816,3.49,4.368091700192987,4.64440175723788,-0.2763100570448928,-0.15130730366024844
SNCR,2021-03-08,4.01,4.1,4.01,4.1,5338,4.1,4.527744736591712,4.73675389781691,-0.2090091612251976,-0.12005661531408733
SNCR,2021-03-05,4.5419,4.5419,3.98,3.98,5190,3.98,4.605516506881115,4.787694209642263,-0.1821777027611482,-0.09781847883630974
SNCR,2021-03-04,4.34,4.445,4.34,4.445,10136,4.445,4.719246780859499,4.852309746413644,-0.1330629655541448,-0.07672867285510013
SNCR,2021-03-03,4.61,4.61,4.61,4.61,1564,4.61,4.769109831924863,4.884894526126735,-0.1157846942018725,-0.06264509968033893
SNCR,2021-03-02,4.6,4.6,4.6,4.6,984,4.6,4.798038892274837,4.906886088216874,-0.1088471959420367,-0.04936020104995552
SNCR,2021-03-01,4.5,4.52,4.5,4.51,2732,4.51,4.834045963597535,4.931436975274224,-0.0973910116766889,-0.03448845232693521
SNCR,2021-02-26,4.61,4.61,4.61,4.61,2236,4.61,4.892963411524359,4.965151933296162,-0.0721885217718032,-0.018762812489496773
SNCR,2021-02-25,4.79,4.82,4.732,4.7912,14290,4.7912,4.944411304528787,4.993564087959855,-0.0491527834310678,-0.005406385168920377
SNCR,2021-02-24,4.71,4.71,4.71,4.71,3331,4.71,4.9722679053522025,5.009753214996644,-0.0374853096444409,0.005530214396616499
SNCR,2021-02-23,4.83,4.83,4.8,4.8,5950,4.8,5.0199529790526025,5.033733472196374,-0.0137804931437717,0.016284095406881086
SNCR,2021-02-22,5.05,5.05,5.05,5.05,6871,5.05,5.059944429789439,5.052432149972084,0.0075122798173552,0.023800242544544287
SNCR,2021-02-19,4.91,4.956,4.9,4.94,7055,4.94,5.061752507932974,5.05262672196985,0.0091257859631239,0.027872233226341546
SNCR,2021-02-18,4.92,4.92,4.9,4.9,6097,4.9,5.083889327557151,5.061636859727438,0.0222524678297135,0.03255884504214594
SNCR,2021-02-17,5.15,5.15,5.09,5.09,7128,5.09,5.117323750749361,5.074567808505632,0.0427559422437289,0.03513543934525403
SNCR,2021-02-16,5.16,5.16,5.1473,5.1573,4555,5.1573,5.122291705431064,5.073333233186083,0.0489584722449807,0.03323031362063531
SNCR,2021-02-16,5.16,5.16,5.1473,5.1573,4555,5.1573,5.115926560963984,5.06661589184097,0.049310669123014,0.029298273964548736
SNCR,2021-02-12,5.01,5.08,5.01,5.08,6081,5.08,5.108404117502889,5.059361163188248,0.0490429543146415,0.024295175174932397
SNCR,2021-02-11,5.18,5.33,5.18,5.265,8009,5.265,5.113568502503414,5.057710056243308,0.0558584462601059,0.018108230390005108
SNCR,2021-02-10,5.47,5.5,5.425,5.5,12903,5.5,5.08603550295858,5.041126860742773,0.0449086422158071,0.0086706764224799
SNCR,2021-02-09,5.23,5.23,5.18,5.18,12261,5.18,5.010769230769231,5.004417009602195,0.0063522211670363,-0.000388815025851912
SNCR,2021-02-08,4.8287,4.87,4.8287,4.87,7449,4.87,4.98,4.99037037037037,-0.0103703703703699,-0.002074074074073984
SNCR,2021-02-05,5.0,5.0,5.0,5.0,10790,5.0,5.0,5.0,0.0,0.0
