Symbol,Date,Open,High,Low,Close,Volume,CASI SMA,CASI spanTwelveEMA,CASI spanTwntySixEMA,CASI_x,CASI_y
CASI,2021-01-15,3.36,3.45,3.3001,3.4462,97764,3.4462,3.0543870887969633,2.9150393236896,0.13934776510736313,0.09674457880225082
CASI,2021-01-14,3.3,3.3,3.23,3.245,81263,3.245,2.983148377669138,2.872546469584768,0.11060190808437033,0.08609378222597272
CASI,2021-01-13,2.98,3.18,2.93,3.17,215081,3.17,2.9355389917907995,2.842750187151549,0.09278880463925043,0.07996675076137333
CASI,2021-01-12,3.0,3.02,2.97,2.99,10150,2.99,2.892909717570945,2.8165702021236734,0.07633951544727191,0.07676123729190404
CASI,2021-01-11,2.93,2.99,2.89,2.99,50829,2.99,2.8752569389474805,2.8026958182935666,0.07256112065391385,0.07686666775306218
CASI,2021-01-08,2.81,2.9,2.8,2.875,181667,2.875,2.8543945642106587,2.787711483757052,0.06668308045360671,0.07794305452784926
CASI,2021-01-07,2.81,2.87,2.795,2.8,29638,2.8,2.8506481213398693,2.7807284024576164,0.0699197188822529,0.08075804804640989
CASI,2021-01-06,2.81,2.89,2.8086,2.86,26650,2.8600000000000003,2.8598568706743914,2.7791866746542264,0.08067019602016501,0.08346763033744913
CASI,2021-01-05,2.84,2.86,2.83,2.83,9623,2.8300000000000005,2.8598308471606435,2.772721608626564,0.08710923853407992,0.08416698891677016
CASI,2021-01-04,3.0,3.03,2.91,2.98,38429,2.9800000000000004,2.8652546375534884,2.7681393373166894,0.09711530023679904,0.08343142651244281
CASI,2021-01-04,3.0,3.03,2.91,2.98,38429,2.9800000000000013,2.8443918443813967,2.7511904843020245,0.0932013600793713,0.08001045808135376
CASI,2020-12-31,3.03,3.08,2.83,2.83,81968,2.8300000000000005,2.819735816087104,2.732885723046186,0.08685009304091773,0.07671273258184916
CASI,2020-12-30,2.77,2.83,2.77,2.83,5651,2.83,2.817869600830214,2.7251165808898805,0.09275301994033304,0.0741783924670819
CASI,2020-12-29,2.94,2.94,2.77,2.8,31586,2.8,2.8156640737084353,2.716725907361072,0.09893816634736297,0.06953473559876899
CASI,2020-12-28,2.97,3.0,2.9301,2.95,28621,2.95,2.8185120871099687,2.7100639799499575,0.10844810716001074,0.06218387791162038
CASI,2020-12-28,2.97,3.0,2.9301,2.95,28621,2.95,2.7946051938572354,2.6908690983459547,0.10373609551128073,0.050617820599522675
CASI,2020-12-24,3.08,3.09,2.97,3.005,35616,3.005,2.766351592740369,2.6701386262136317,0.09621296652673772,0.037338251871583156
CASI,2020-12-23,3.14,3.21,3.03,3.095,218936,3.095,2.722960973238618,2.6433497163107216,0.07961125692789618,0.02261957320779462
CASI,2020-12-22,2.9,2.95,2.83,2.86,39378,2.86,2.655317513827458,2.6072176936155795,0.04809982021187853,0.00837165227776912
CASI,2020-12-21,2.86,3.09,2.85,3.05,306865,3.0500000000000003,2.618102516341541,2.586995109104826,0.031107407236715456,-0.001560389705758232
CASI,2020-12-18,2.71,2.71,2.59,2.6197,183958,2.619700000000001,2.539575701130913,2.549954717833212,-0.01037901670229946,-0.009727338941376543
CASI,2020-12-17,2.61,2.65,2.52,2.57,43912,2.5700000000000003,2.5250076467910785,2.544375095259869,-0.01936744846879046,-0.009564419501145924
CASI,2020-12-16,2.52,2.5265,2.37,2.37,54561,2.370000000000001,2.5168272189349112,2.542325102880658,-0.025497883945746924,-0.0071136622592347905
CASI,2020-12-15,2.47,2.5,2.4,2.41,19626,2.410000000000001,2.5435230769230768,2.5561111111111106,-0.01258803418803378,-0.0025176068376067564
CASI,2020-12-14,2.8,2.8,2.55,2.5678,125316,2.567800000000001,2.5678,2.5678,0.0,0.0
