Symbol,Date,Open,High,Low,Close,Volume
NBRV,2021-01-15,3.09,3.09,2.92,2.94,189197
NBRV,2021-01-14,3.028,3.13,2.9911,3.11,412198
NBRV,2021-01-13,2.9,2.9,2.83,2.85,37107
NBRV,2021-01-12,2.84,2.87,2.83,2.86,54489
NBRV,2021-01-11,2.73,2.78,2.72,2.765,39364
NBRV,2021-01-08,2.8,2.86,2.76,2.82,253752
NBRV,2021-01-07,2.66,2.68,2.61,2.61,87953
NBRV,2021-01-06,2.67,2.67,2.5,2.51,493702
NBRV,2021-01-05,2.5,2.55,2.49,2.52,69945
NBRV,2021-01-04,2.47,2.49,2.4,2.435,146289
NBRV,2021-01-04,2.47,2.49,2.4,2.435,146289
NBRV,2020-12-31,2.51,2.51,2.42,2.4301,59955
NBRV,2020-12-30,2.42,2.46,2.395,2.395,61193
NBRV,2020-12-29,2.53,2.53,2.41,2.45,166580
NBRV,2020-12-28,2.65,2.68,2.59,2.595,74754
NBRV,2020-12-28,2.65,2.68,2.59,2.595,74754
NBRV,2020-12-24,2.71,2.715,2.65,2.6799,39707
NBRV,2020-12-23,2.7,2.72,2.61,2.6981,140204
NBRV,2020-12-22,2.5,2.5,2.47,2.485,89582
NBRV,2020-12-21,2.45,2.47,2.44,2.4531,77431
NBRV,2020-12-18,2.5,2.5,2.44,2.4798,42013
NBRV,2020-12-17,2.38,2.46,2.37,2.44,104569
NBRV,2020-12-16,2.37,2.4,2.32,2.3231,149060
NBRV,2020-12-15,2.46,2.5,2.42,2.48,216457
NBRV,2020-12-14,2.58,2.58,2.4466,2.5,506761
