Symbol,Date,Open,High,Low,Close,Volume,SSVFF SMA,SSVFF spanTwelveEMA,SSVFF spanTwntySixEMA,SSVFF_x,SSVFF_y
SSVFF,2020-12-15,0.35,0.35,0.339756,0.3469,55457,0.3469,0.3753961729542944,0.3935965968611764,-0.01820042390688198,-0.01412394383610232
SSVFF,2020-12-14,0.3416,0.35,0.33399999999999996,0.3492,55060,0.34919999999999995,0.38057729530962064,0.3973323246100705,-0.016755029300449864,-0.013104823818407402
SSVFF,2020-12-11,0.348,0.348,0.3287,0.3306,49772,0.33059999999999995,0.3862822580931881,0.4011829105788762,-0.014900652485688115,-0.012192272447896786
SSVFF,2020-12-10,0.389,0.3898,0.3837,0.3866,47000,0.3866,0.3964063050192223,0.40682954342518624,-0.010423238405963986,-0.011515177438448968
SSVFF,2020-12-09,0.39299999999999996,0.39299999999999996,0.39299999999999996,0.39299999999999996,100,0.3929999999999999,0.3981892695681717,0.4084479068992011,-0.010258637331029384,-0.011788162196570225
SSVFF,2020-12-08,0.39925,0.39925,0.391,0.391,9435,0.3909999999999999,0.3991327731260212,0.4096837394511372,-0.01055096632511604,-0.012170543412955434
SSVFF,2020-12-07,0.3947,0.408,0.390995,0.3913,24861,0.39129999999999976,0.40061145914893415,0.4111784386072282,-0.010566979458294046,-0.012575437684915295
SSVFF,2020-12-04,0.4,0.42,0.39,0.4187,20960,0.4186999999999999,0.4023044517214677,0.4127687136958065,-0.010464261974338808,-0.013077552241570605
SSVFF,2020-12-03,0.3947,0.3959,0.39345,0.3959,5700,0.39589999999999975,0.3993234429435527,0.412294210791471,-0.012970767847918284,-0.013730874808378566
SSVFF,2020-12-02,0.3941,0.3961,0.3876,0.3943,6984,0.3942999999999998,0.3999458871151077,0.4136057476547887,-0.01365986053968099,-0.013920901548493635
SSVFF,2020-12-01,0.3858,0.3907,0.3858,0.3907,2500,0.3906999999999998,0.40097241204512735,0.4151502074671718,-0.014177795422044446,-0.013986161800696796
SSVFF,2020-11-30,0.39,0.4038,0.3865,0.4038,5820,0.40379999999999977,0.4028401233260596,0.4171062240645455,-0.014266100738485887,-0.013938253395359881
SSVFF,2020-11-27,0.3802,0.4,0.3802,0.4,14000,0.3999999999999999,0.4026656002944341,0.4181707219897092,-0.015505121695275069,-0.01385629155957838
SSVFF,2020-11-27,0.3802,0.4,0.3802,0.4,14000,0.3999999999999998,0.4031502548934221,0.4196243797488859,-0.01647412485546379,-0.013444084025654194
SSVFF,2020-11-25,0.405,0.41213999999999995,0.405,0.41213999999999995,9600,0.4121399999999997,0.4037230285104079,0.4211943301287968,-0.017471301618388838,-0.012686573818201794
SSVFF,2020-11-24,0.3670000000000001,0.3692,0.3581,0.35859,17824,0.3585899999999997,0.4021926700577548,0.4219186765391005,-0.019726006481345648,-0.01149039186815502
SSVFF,2020-11-23,0.384,0.4,0.384,0.384,16200,0.3839999999999997,0.4101204282500739,0.4269849706622285,-0.016864542412154626,-0.009431488214857347
SSVFF,2020-11-20,0.3965,0.3965,0.3857,0.3857,12806,0.3856999999999997,0.41486959702281456,0.4304237683152068,-0.015554171292392229,-0.007573224665533026
SSVFF,2020-11-19,0.35,0.38,0.35,0.36,13422,0.3599999999999997,0.4201731601178717,0.4340016697804233,-0.013828509662551614,-0.005577988008818226
SSVFF,2020-11-18,0.3954,0.3954,0.3954,0.3954,300,0.3953999999999997,0.4311137346847575,0.4399218033628572,-0.008808068678099691,-0.003515357595384879
SSVFF,2020-11-17,0.3925,0.413,0.39,0.413,11000,0.4129999999999996,0.43760714099107706,0.4434835476318858,-0.00587640664080874,-0.0021921798247061764
SSVFF,2020-11-16,0.4397,0.4397,0.4201,0.4201,9330,0.4200999999999995,0.4420811666258184,0.4459222314424367,-0.003841064816618278,-0.0012711231206805357
SSVFF,2020-11-13,0.4263,0.452,0.4263,0.436,3650,0.4359999999999996,0.4460777423759672,0.4479880099578316,-0.001910267581864411,-0.0006286376966961003
SSVFF,2020-11-12,0.4398,0.4431,0.43955,0.4431,31500,0.4430999999999996,0.4479100591715976,0.4489470507544581,-0.0010369915828605247,-0.00030823022540402254
SSVFF,2020-11-11,0.4185,0.44605,0.41700000000000004,0.4421,6000,0.4420999999999996,0.44878461538461534,0.4494148148148148,-0.0006301994301994852,-0.00012603988603989701
SSVFF,2020-11-10,0.4496,0.455,0.4496,0.45,15000,0.4499999999999996,0.45,0.45,0.0,0.0
