Symbol,Date,Open,High,Low,Close,Volume,GSAT SMA,GSAT spanTwelveEMA,GSAT spanTwntySixEMA,GSAT_x,GSAT_y
GSAT,2020-12-15,0.318,0.32,0.318,0.3199,75791,0.3199,0.32106511751744793,0.3218066143441289,-0.0007414968266810097,-0.0013493744939713876
GSAT,2020-12-14,0.3212,0.324,0.3204,0.3219,144923,0.3219,0.32127695706607484,0.3219591434916593,-0.0006821864255844301,-0.001501343910793996
GSAT,2020-12-11,0.3227,0.326949,0.3213,0.325999,161688,0.325999,0.3211636765326339,0.32196387497099205,-0.0008001984383581018,-0.0017061332820963735
GSAT,2020-12-10,0.3224,0.3236,0.3142,0.3142,300749,0.3142,0.3202845268112946,0.3216410649686713,-0.001356538157376741,-0.0019326169930309273
GSAT,2020-12-09,0.33,0.33,0.32,0.3236,344123,0.32359999999999994,0.32139080441334816,0.3222363501661651,-0.000845545752816923,-0.0020766367019444875
GSAT,2020-12-08,0.32,0.32,0.315,0.3152,101364,0.3151999999999999,0.3209891324885024,0.3221272581794583,-0.0011381256909558937,-0.0023844094392263785
GSAT,2020-12-07,0.34,0.34,0.33,0.332,246692,0.332,0.3220417020318665,0.3226814388338149,-0.0006397368019483983,-0.002695980376294
GSAT,2020-12-04,0.32,0.33,0.317,0.32381,228308,0.32381,0.3202311024012968,0.3219359539405201,-0.0017048515392232846,-0.0032100412698804004
GSAT,2020-12-03,0.327,0.3296,0.325,0.3251,94795,0.3251,0.3195803937469872,0.3217860302557617,-0.0022056365087745893,-0.0035863387025446792
GSAT,2020-12-02,0.337,0.337,0.3275,0.3313,131708,0.3313,0.3185768289737121,0.3215209126762227,-0.0029440837025105915,-0.003931514250987229
GSAT,2020-12-01,0.32,0.325,0.317,0.318,192328,0.318,0.3162635251507507,0.3207385856903205,-0.0044750605395698076,-0.004178371888106388
GSAT,2020-11-30,0.314,0.316899,0.311,0.3122,179053,0.3122,0.3159478024508872,0.3209576725455461,-0.005009870094658918,-0.004104199725240533
GSAT,2020-11-27,0.315,0.31969899999999996,0.3089,0.3136,89863,0.31359999999999993,0.31662922107832125,0.3216582863491898,-0.005029065270868549,-0.0038777821328859503
GSAT,2020-11-27,0.315,0.31969899999999996,0.3089,0.3136,89863,0.3136,0.3171799885471069,0.322302949257125,-0.005122960710018054,-0.0035899613483903006
GSAT,2020-11-25,0.31,0.31,0.3063,0.3082,144978,0.3081999999999999,0.31783089555567184,0.32299918519769505,-0.005168289642023205,-0.003206711507983348
GSAT,2020-11-24,0.312,0.3147,0.308,0.31065,234489,0.3106499999999999,0.3195819674748849,0.32418312001351063,-0.004601152538625752,-0.0027163169744733842
GSAT,2020-11-23,0.3189,0.3189,0.312,0.316,182553,0.31599999999999995,0.3212059615612276,0.3252657696145915,-0.004059808053363867,-0.002245108083435292
GSAT,2020-11-20,0.3149,0.316399,0.313,0.31515,73892,0.3151499999999999,0.3221525000269054,0.3260070311837588,-0.003854531156853413,-0.0017914330909531346
GSAT,2020-11-19,0.3163,0.3188,0.3123,0.314,90179,0.3139999999999999,0.32342568184997905,0.3268755936784595,-0.003449911828480423,-0.0012756585744780648
GSAT,2020-11-18,0.312,0.3124,0.31,0.311,56291,0.3109999999999999,0.3251394421863389,0.32790564117273624,-0.00276619898639735,-0.000732095260977475
GSAT,2020-11-17,0.315,0.32,0.305,0.3104,277477,0.31039999999999995,0.3277102498565823,0.32925809246655513,-0.001547842609972816,-0.0002235693296225061
GSAT,2020-11-16,0.33,0.33,0.32,0.327,258343,0.327,0.3308575680123246,0.3307667398638795,9.082814844507679e-05,0.0001074989904650714
GSAT,2020-11-13,0.3323,0.33822800000000003,0.3323,0.336,94214,0.336,0.33155894401456537,0.3310680790529899,0.0004908649615754658,0.00011166670097007005
GSAT,2020-11-12,0.33,0.3324,0.3259,0.3315,66199,0.3315,0.3307514792899409,0.3306735253772291,7.7953912711759e-05,1.6867135818721124e-05
GSAT,2020-11-11,0.33,0.332,0.33,0.3307,196345,0.3306999999999999,0.33061538461538464,0.3306074074074074,7.977207977238887e-06,1.5954415954477774e-06
GSAT,2020-11-10,0.33,0.335,0.3209,0.3306,271541,0.3305999999999999,0.3306,0.3306,0.0,0.0
