Symbol,Date,Open,High,Low,Close,Volume,ENDP SMA,ENDP spanTwelveEMA,ENDP spanTwntySixEMA,ENDP_x,ENDP_y
ENDP,2021-06-24,4.75,4.7692,4.7,4.75,37817,4.75,5.3065028851329705,5.490524727410934,-0.1840218422779633,-0.06023585676674599
ENDP,2021-06-23,4.77,4.78,4.75,4.78,24122,4.78,5.40768522788442,5.549766705603808,-0.1420814777193886,-0.02928936038894165
ENDP,2021-06-22,5.1,5.125,5.08,5.125,55379,5.125,5.521809814772496,5.611348042052113,-0.0895382272796174,-0.001091331056329907
ENDP,2021-06-21,5.18,5.19,5.16,5.16,36985,5.16,5.593957053822041,5.650255885416282,-0.0562988315942414,0.02102039299949198
ENDP,2021-06-18,5.38,5.4315,5.33,5.4315,294473,5.4315,5.672858336335139,5.6894763562495845,-0.0166180199144454,0.040350199147925335
ENDP,2021-06-17,5.4,5.42,5.395,5.395,22362,5.395,5.716741670214256,5.710114464749552,0.0066272054647038,0.05459225391351803
ENDP,2021-06-16,5.42,5.46,5.4,5.42,89511,5.42,5.775240155707756,5.735323621929516,0.0399165337782401,0.06658351602572135
ENDP,2021-06-15,5.66,5.66,5.65,5.65,65250,5.65,5.839829274927348,5.760549511683877,0.0792797632434716,0.07325026158759165
ENDP,2021-06-14,6.21,6.24,6.19,6.24,112334,6.24,5.874343688550503,5.769393472618587,0.1049502159319155,0.07174288617362165
ENDP,2021-06-11,6.07,6.08,6.06,6.078,36113,6.078,5.807860722832412,5.731744950428073,0.0761157724043393,0.06344105373404796
ENDP,2021-06-10,5.94,5.94,5.87,5.87,38876,5.87,5.758744490620124,5.704044546462319,0.0546999441578055,0.060272374066475114
ENDP,2021-06-09,5.69,5.75,5.69,5.75,23293,5.75,5.73851621618742,5.690768110179304,0.0477481060081155,0.0616654815436425
ENDP,2021-06-08,5.64,5.695,5.64,5.68,27655,5.68,5.736428255494223,5.686029558993649,0.050398696500574,0.06514482542752424
ENDP,2021-06-07,5.45,5.46,5.42,5.44,49461,5.44,5.7466879383113545,5.686511923713141,0.0601760145982135,0.0688313576592618
ENDP,2021-06-04,5.78,5.8,5.7501,5.77,19392,5.77,5.802449381640691,5.706232877610192,0.0962165040304992,0.07099519342452386
ENDP,2021-06-03,5.93,5.94,5.9,5.94,20413,5.94,5.808349269211726,5.701131507819008,0.1072177613927181,0.06468986577303001
ENDP,2021-06-02,6.02,6.07,6.02,6.05,20189,6.05,5.784412772704767,5.682022028444528,0.1023907442602389,0.0540578918681082
ENDP,2021-06-01,5.96,5.99,5.94,5.99,39626,5.99,5.736124185923815,5.65258379072009,0.083540395203725,0.041974678770075505
ENDP,2021-06-01,5.96,5.99,5.94,5.99,39626,5.99,5.689964947000872,5.625590493977698,0.0643744530231744,0.03158324966166313
ENDP,2021-05-28,5.85,5.94,5.83,5.93,79895,5.93,5.635413119182849,5.596437733495914,0.0389753856869354,0.02338544882128529
ENDP,2021-05-27,5.61,5.61,5.56,5.57,30097,5.57,5.581851868125185,5.569752752175587,0.0120991159495984,0.01948796460487274
ENDP,2021-05-26,5.37,5.4,5.37,5.4,27854,5.4,5.584006753238856,5.569732972349634,0.0142737808892219,0.02133517676869131
ENDP,2021-05-25,5.63,5.65,5.62,5.65,19349,5.65,5.617462526555012,5.583311610137605,0.0341509164174071,0.023100525738558655
ENDP,2021-05-24,5.61,5.65,5.61,5.65,18636,5.65,5.611546622292286,5.577976538948613,0.0335700833436725,0.020337928068846517
ENDP,2021-05-21,5.75,5.75,5.7,5.71,54231,5.71,5.604555099072701,5.572214662064503,0.0323404370081981,0.017029889250140016
ENDP,2021-05-20,5.64,5.65,5.6,5.6,25694,5.6,5.585383298904102,5.561191835029663,0.0241914638744384,0.013202252310625712
ENDP,2021-05-19,5.66,5.66,5.58,5.58,25033,5.58,5.582725716886665,5.558087181832037,0.0246385350546276,0.010454949419672517
ENDP,2021-05-18,5.73,5.83,5.73,5.7744,26748,5.7744,5.583221301775149,5.5563341563786,0.0268871453965484,0.006909053010933733
ENDP,2021-05-17,5.71,5.71,5.65,5.65,46273,5.65,5.548461538461539,5.538888888888889,0.0095726495726502,0.0019145299145300499
ENDP,2021-05-14,5.57,5.575,5.53,5.53,17329,5.53,5.53,5.53,0.0,0.0
