Symbol,Date,Open,High,Low,Close,Volume,AGRX SMA,AGRX spanTwelveEMA,AGRX spanTwntySixEMA,AGRX_x,AGRX_y
AGRX,2021-03-03,2.65,2.7,2.6019,2.6019,250054,2.6019,2.9927706962199903,3.053418895989432,-0.0606481997694419,0.01867294887736198
AGRX,2021-03-02,2.87,2.88,2.71,2.761,616332,2.761,3.063838095532716,3.089540407668587,-0.0257023121358712,0.03850323603906295
AGRX,2021-03-01,2.91,2.98,2.9,2.92,98924,2.92,3.118899567447755,3.115823640282074,0.003075927165681,0.054554623082796384
AGRX,2021-02-26,2.99,3.06,2.95,2.95,103547,2.95,3.1550631251655283,3.13148953150464,0.0235735936608887,0.06742429706207521
AGRX,2021-02-25,3.1335,3.19,3.07,3.07,106385,3.07,3.1923473297410787,3.146008694025011,0.0463386357160677,0.07838697291237194
AGRX,2021-02-24,2.97,3.115,2.96,3.105,223484,3.105,3.214592298784911,3.152089389547012,0.062502909237899,0.08639905721144797
AGRX,2021-02-23,3.08,3.0856,2.81,2.87,808813,2.87,3.2345181712912585,3.155856540710773,0.0786616305804854,0.0923730942048352
AGRX,2021-02-22,3.34,3.36,3.31,3.3581,77959,3.3581,3.300794202435124,3.1787250639676348,0.1220691384674887,0.09580096011092262
AGRX,2021-02-19,3.37,3.4388,3.35,3.3693,118670,3.3693,3.290374966514237,3.164375069085046,0.1259998974291916,0.08923391552178096
AGRX,2021-02-18,3.48,3.55,3.42,3.43,78530,3.43,3.276024960425917,3.1479810746118497,0.1280438858140677,0.08004242004492841
AGRX,2021-02-17,3.61,3.66,3.44,3.4678,209880,3.4678,3.248029498685175,3.1254195605807977,0.1226099381043774,0.06804205360264368
AGRX,2021-02-16,3.38,3.4,3.36,3.3918,125465,3.3918,3.2080712257188435,3.0980291254272614,0.1100421002915821,0.05440008247721022
AGRX,2021-02-16,3.38,3.4,3.36,3.3918,125465,3.3918,3.174665994031361,3.074527455461442,0.1001385385699187,0.04048957802361723
AGRX,2021-02-12,3.33,3.35,3.27,3.34,145597,3.34,3.1351870838552447,3.0491456518983573,0.0860414319568874,0.025577337887041855
AGRX,2021-02-11,3.46,3.5,3.38,3.45,193214,3.45,3.097948371828925,3.025877304050226,0.0720710677786993,0.010461314369580463
AGRX,2021-02-10,3.74,3.74,3.342,3.3546,759390,3.3546,3.0339389848887297,2.991947488374244,0.0419914965144858,-0.0049411239826992505
AGRX,2021-02-09,3.14,3.275,3.13,3.2392,428113,3.2392,2.9756369821412263,2.9629352874441834,0.0127016946970428,-0.016674279106995527
AGRX,2021-02-08,3.0,3.03,2.97,3.005,227883,3.005,2.927716433439631,2.9408341104397184,-0.0131176770000873,-0.02401827255800512
AGRX,2021-02-05,3.02,3.02,2.97,2.9723,168019,2.9723,2.9136648758832,2.935700839274896,-0.022035963391696,-0.02674342144748456
AGRX,2021-02-04,3.0,3.0,2.96,2.9896,151274,2.9896,2.9030039442256,2.932772906416888,-0.0297689621912877,-0.027920285961431694
AGRX,2021-02-03,2.85,2.92,2.85,2.9,223931,2.9,2.8872592068120726,2.9282267389302388,-0.0409675321181661,-0.027458116903967558
AGRX,2021-02-02,2.8,2.8691,2.8,2.82,165401,2.82,2.884942698959722,2.9304848780446577,-0.0455421790849355,-0.024080763100417905
AGRX,2021-02-01,2.83,2.83,2.73,2.765,210681,2.765,2.896750462406944,2.9393236682882304,-0.0425732058812862,-0.0187154091042885
AGRX,2021-01-29,2.82,2.84,2.76,2.8,143907,2.8,2.92070509193548,2.9532695617512887,-0.0325644698158091,-0.01275095991003896
AGRX,2021-01-28,2.82,2.87,2.81,2.825,139241,2.825,2.942651472287385,2.965531126691392,-0.022879654404007,-0.007797582433596514
AGRX,2021-01-27,2.9,2.9,2.83,2.8697,187503,2.8697,2.964042649066909,2.976773616826703,-0.0127309677597939,-0.004027064440993872
AGRX,2021-01-26,3.0,3.0,2.967,3.0,334704,3.0,2.981195857988165,2.9853395061728394,-0.0041436481846739,-0.001851088611293843
AGRX,2021-01-25,2.93,2.96,2.91,2.91,147128,2.91,2.977776923076923,2.9841666666666664,-0.0063897435897435,-0.001277948717948707
AGRX,2021-01-22,2.94,2.995,2.9219,2.9901,101774,2.9901,2.9901,2.9901,0.0,0.0
