Symbol,Date,Open,High,Low,Close,Volume,AUY SMA,AUY spanTwelveEMA,AUY spanTwntySixEMA,AUY_x,AUY_y
AUY,2021-03-03,4.12,4.1401,4.08,4.14,2345235,4.14,4.362255775972694,4.575502527482469,-0.2132467515097751,-0.16684528108947966
AUY,2021-03-02,4.07,4.12,4.06,4.115,2047874,4.115,4.402665917058639,4.610342729681067,-0.2076768126224282,-0.15524491348440578
AUY,2021-03-01,4.1,4.16,4.07,4.13,2584365,4.13,4.454968811069301,4.649970148055552,-0.1950013369862508,-0.14213693869990016
AUY,2021-02-26,4.2,4.21,4.1,4.111,2977330,4.111,4.514054049445537,4.691567759899996,-0.177513710454459,-0.12892083912831226
AUY,2021-02-25,4.45,4.52,4.43,4.4355,2140474,4.4355,4.58733660389018,4.738013180691996,-0.1506765768018159,-0.11677262129677553
AUY,2021-02-24,4.42,4.42,4.3,4.36,3075063,4.36,4.61494325914294,4.762214235147355,-0.1472709760044148,-0.10829663242051543
AUY,2021-02-23,4.55,4.57,4.38,4.43,2630765,4.43,4.661296578987111,4.794391373959143,-0.133094794972032,-0.09855304652454056
AUY,2021-02-22,4.48,4.58,4.43,4.55,3427006,4.55,4.703350502439313,4.823542683875874,-0.1201921814365611,-0.08991760941266769
AUY,2021-02-19,4.53,4.57,4.49,4.55,1926853,4.55,4.731232411973733,4.845426098585944,-0.1141936866122108,-0.08234896640669431
AUY,2021-02-18,4.59,4.64,4.54,4.553,1333894,4.553,4.764183759605321,4.86906018647282,-0.1048764268674986,-0.07438778635531518
AUY,2021-02-17,4.59,4.615,4.49,4.555,4975195,4.555,4.802580806806288,4.894345001390645,-0.091764194584357,-0.06676562622726931
AUY,2021-02-16,4.76,4.76,4.61,4.66,4578341,4.66,4.847595498952886,4.921492601501897,-0.0738971025490107,-0.06051598413799738
AUY,2021-02-16,4.76,4.76,4.61,4.66,4578341,4.66,4.881703771489774,4.942412009622049,-0.0607082381322747,-0.05717070453524404
AUY,2021-02-12,4.87,4.9,4.76,4.8979,2047737,4.8979,4.922013548124278,4.965004970391813,-0.0429914222675344,-0.05628632113598635
AUY,2021-02-11,4.94,5.01,4.93,5.01,1760765,5.01,4.926397829601419,4.970373368023157,-0.0439755384217379,-0.059610045853099314
AUY,2021-02-10,4.98,5.0,4.91,4.915,1327266,4.915,4.911197434983495,4.96720323746501,-0.0560058024815148,-0.06351867271093965
AUY,2021-02-09,5.03,5.05,4.9548,5.0018,2218405,5.0018,4.910506059525949,4.971379496462211,-0.0608734369362613,-0.06539689026829584
AUY,2021-02-08,4.97,4.99,4.9301,4.98,2066466,4.98,4.893907161257941,4.968945856179188,-0.0750386949212469,-0.06652775360130446
AUY,2021-02-05,4.79,4.8,4.74,4.78,1550083,4.78,4.8782539178502935,4.968061524673523,-0.0898076068232294,-0.06440001827131885
AUY,2021-02-04,4.75,4.75,4.625,4.7001,3170540,4.7001,4.896118266550348,4.983106446647405,-0.0869881800970571,-0.0580481211333412
AUY,2021-02-03,4.86,4.91,4.81,4.905,1091139,4.905,4.931757951377684,5.005746962379197,-0.0739890110015135,-0.05081310639241244
AUY,2021-02-02,4.84,4.85,4.71,4.81,3169968,4.81,4.936623033446352,5.013806719369533,-0.0771836859231802,-0.04501913024013737
AUY,2021-02-01,4.95,4.96,4.82,4.84,4545061,4.84,4.959645403163871,5.030111256919095,-0.0704658537552234,-0.03697799131937665
AUY,2021-01-29,4.93,4.97,4.83,4.9214,2553027,4.9214,4.9813991128300295,5.045320157472622,-0.0639210446425924,-0.028606025710414963
AUY,2021-01-28,4.75,4.82,4.7,4.765,3243277,4.765,4.992308042435489,5.055233770070432,-0.0629257276349424,-0.0197772709773706
AUY,2021-01-27,4.87,4.87,4.545,4.585,4174240,4.585,5.0336367774237605,5.078452471676066,-0.0448156942523052,-0.008990156812977644
AUY,2021-01-26,5.11,5.11,4.94,5.055,4258284,5.055,5.115207100591716,5.117928669410151,-0.0027215688184343,-3.377245314574386e-05
AUY,2021-01-25,5.21,5.27,5.16,5.16,1548023,5.16,5.126153846153846,5.122962962962963,0.0031908831908831,0.0006381766381766241
AUY,2021-01-22,5.11,5.16,5.0415,5.12,1951449,5.12,5.12,5.12,0.0,0.0
