Symbol,Date,Open,High,Low,Close,Volume,AGRX SMA,AGRX spanTwelveEMA,AGRX spanTwntySixEMA,AGRX_x,AGRX_y
AGRX,2021-03-08,2.22,2.26,2.08,2.17,486872,2.17,2.6754891859617054,2.863371366462294,-0.1878821805005888,-0.056102546841079
AGRX,2021-03-05,2.28,2.29,2.1702,2.18,156080,2.18,2.7673963106820154,2.918841075779277,-0.1514447650972621,-0.023157638426201544
AGRX,2021-03-04,2.35,2.35,2.2,2.23,477865,2.23,2.8741956398969277,2.97794836184162,-0.1037527219446925,0.00891414324156349
AGRX,2021-03-03,2.65,2.7,2.6019,2.6019,250054,2.6019,2.9913221198781867,3.037784230788949,-0.0464621109107628,0.037080859538127384
AGRX,2021-03-02,2.87,2.88,2.71,2.761,616332,2.761,3.0621261416742205,3.0726549692520653,-0.0105288275778447,0.057966602150349815
AGRX,2021-03-01,2.91,2.98,2.9,2.92,98924,2.92,3.116876349251352,3.0975873667922302,0.0192889824591211,0.07509045958239846
AGRX,2021-02-26,2.99,3.06,2.95,2.95,103547,2.95,3.152672049115233,3.1117943561356087,0.0408776929796244,0.08904082886321768
AGRX,2021-02-25,3.1335,3.19,3.07,3.07,106385,3.07,3.18952151259073,3.1247379046264574,0.0647836079642725,0.101081612834116
AGRX,2021-02-24,2.97,3.115,2.96,3.105,223484,3.105,3.211252696698136,3.129116936996574,0.0821357597015617,0.11015611405157685
AGRX,2021-02-23,3.08,3.0856,2.81,2.87,808813,2.87,3.230571368825069,3.1310462919563,0.0995250768687694,0.1171612026390805
AGRX,2021-02-22,3.34,3.36,3.31,3.3581,77959,3.3581,3.2961297995205365,3.151929995312804,0.1441998042077328,0.12157023408165837
AGRX,2021-02-19,3.37,3.4388,3.35,3.3693,118670,3.3693,3.2848624903424524,3.135436394937828,0.1494260954046242,0.11591284155013988
AGRX,2021-02-18,3.48,3.55,3.42,3.43,78530,3.43,3.269510215859262,3.1167273065328542,0.1527829093264077,0.10753452808651878
AGRX,2021-02-17,3.61,3.66,3.44,3.4678,209880,3.4678,3.2403302551064006,3.0916654910554824,0.1486647640509182,0.09622243277654655
AGRX,2021-02-16,3.38,3.4,3.36,3.3918,125465,3.3918,3.198972119671201,3.061574730339921,0.1373973893312796,0.08311184995795362
AGRX,2021-02-16,3.38,3.4,3.36,3.3918,125465,3.3918,3.163912505065965,3.035156708767115,0.1287557962988499,0.069540465114622
AGRX,2021-02-12,3.33,3.35,3.27,3.34,145597,3.34,3.1224784150779588,3.006625245468484,0.1158531696094749,0.054736632318565015
AGRX,2021-02-11,3.46,3.5,3.38,3.45,193214,3.45,3.082929036001224,2.979955265105963,0.1029737708952609,0.03945749799583754
AGRX,2021-02-10,3.74,3.74,3.342,3.3546,759390,3.3546,3.016188860728719,2.94235168631444,0.0738371744142791,0.023578429770981686
AGRX,2021-02-09,3.14,3.275,3.13,3.2392,428113,3.2392,2.9546595626793954,2.909371821219595,0.0452877414598003,0.011013743610157316
AGRX,2021-02-08,3.0,3.03,2.97,3.005,227883,3.005,2.9029249377120125,2.882985566917163,0.0199393707948494,0.0024452441477465685
AGRX,2021-02-05,3.02,3.02,2.97,2.9723,168019,2.9723,2.884365835477833,2.8732244122705364,0.0111414232072966,-0.0019282875140291442
AGRX,2021-02-04,3.0,3.0,2.96,2.9896,151274,2.9896,2.868377805564712,2.8652983652521797,0.0030794403125322,-0.005195715194360582
AGRX,2021-02-03,2.85,2.92,2.85,2.9,223931,2.9,2.846337406576477,2.8553542344723537,-0.0090168278958762,-0.007264504071083794
AGRX,2021-02-02,2.8,2.8691,2.8,2.82,165401,2.82,2.836580571408564,2.851782573230142,-0.0152020018215779,-0.006826423114885578
AGRX,2021-02-01,2.83,2.83,2.73,2.765,210681,2.765,2.839595220755576,2.854325179088553,-0.0147299583329778,-0.004732528438212488
AGRX,2021-01-29,2.82,2.84,2.76,2.8,143907,2.8,2.8531579881656803,2.8614711934156376,-0.0083132052499572,-0.0022331709645213673
AGRX,2021-01-28,2.82,2.87,2.81,2.825,139241,2.825,2.862823076923077,2.866388888888889,-0.0035658119658119,-0.0007131623931623921
AGRX,2021-01-27,2.9,2.9,2.83,2.8697,187503,2.8697,2.8697,2.8697,0.0,0.0
