Symbol,Date,Open,High,Low,Close,Volume,IAG SMA,IAG spanTwelveEMA,IAG spanTwntySixEMA,IAG_x,IAG_y
IAG,2021-03-08,3.06,3.11,3.033,3.05,782939,3.05,3.065791195018051,3.180078362013913,-0.1142871669958625,-0.08969223589088786
IAG,2021-03-05,3.01,3.04,2.93,2.955,623530,2.955,3.068662321384969,3.1904846309750265,-0.1218223095900574,-0.0835435031146443
IAG,2021-03-04,2.97,3.02,2.94,2.955,554940,2.955,3.089328198000418,3.2093234014530285,-0.1199952034526106,-0.073973801495791
IAG,2021-03-03,2.94,2.98,2.9,2.9,823182,2.9,3.1137515067277666,3.2296692735692707,-0.1159177668415041,-0.06246845100658609
IAG,2021-03-02,2.88,2.92,2.87,2.89,701363,2.89,3.152615417041906,3.2560428154548124,-0.1034273984129066,-0.04910612204785657
IAG,2021-03-01,3.07,3.07,2.97,2.98,1250983,2.98,3.200363674685889,3.2853262406911976,-0.0849625660053088,-0.035525802956594056
IAG,2021-02-26,3.06,3.08,2.97,2.99,1215119,2.99,3.2404297973560503,3.309752339946493,-0.0693225425904429,-0.023166612194415362
IAG,2021-02-25,3.2,3.25,3.18,3.2,656443,3.2,3.285962487784423,3.3353325271422123,-0.0493700393577891,-0.011627629595408475
IAG,2021-02-24,3.17,3.18,3.11,3.16,702334,3.16,3.3015920310179547,3.3461591293135893,-0.0445670982956345,-0.002192027154813301
IAG,2021-02-23,3.3,3.3,3.13,3.185,1571642,3.185,3.3273360366575826,3.3610518596586765,-0.0337158230010938,0.00840174063039201
IAG,2021-02-22,3.26,3.28,3.18,3.19,3825621,3.19,3.3532153160498703,3.37513600843137,-0.0219206923815002,0.018931131538263483
IAG,2021-02-19,3.23,3.24,3.18,3.18,1399123,3.18,3.382890828058938,3.38994688910588,-0.0070560610469421,0.029144087518204315
IAG,2021-02-18,3.38,3.43,3.26,3.285,1700687,3.285,3.4197800695242,3.4067426402343504,0.0130374292898491,0.03819412465949092
IAG,2021-02-17,3.31,3.31,3.22,3.2699,1476090,3.2699,3.4442855367104173,3.4164820514530985,0.0278034852573187,0.04448329850190125
IAG,2021-02-16,3.46,3.4788,3.42,3.445,988275,3.445,3.4759919979304934,3.4282086155693463,0.0477833823611471,0.048653251813046854
IAG,2021-02-16,3.46,3.4788,3.42,3.445,988275,3.445,3.481626906645128,3.4268653048148936,0.0547616018302345,0.04887071917602179
IAG,2021-02-12,3.51,3.52,3.445,3.5,634926,3.5,3.48828634421697,3.425414529200085,0.0628718150168845,0.047397998512468585
IAG,2021-02-11,3.61,3.63,3.575,3.61,260697,3.61,3.486156588620055,3.4194476915360927,0.0667088970839624,0.043529544386364485
IAG,2021-02-10,3.59,3.6,3.5513,3.5681,371863,3.5681,3.4636396047327924,3.4042035068589804,0.0594360978738119,0.037734706211964994
IAG,2021-02-09,3.6,3.6,3.54,3.57,720128,3.57,3.4446468055933,3.391091787407699,0.0535550181856012,0.03230935829650325
IAG,2021-02-08,3.54,3.59,3.54,3.55,419515,3.55,3.4218553157011726,3.376779130400315,0.0450761853008576,0.02699794332422874
IAG,2021-02-05,3.49,3.5,3.43,3.46,470506,3.46,3.398556282192295,3.36292146083234,0.0356348213599551,0.02247838283007151
IAG,2021-02-04,3.425,3.425,3.3647,3.41,725796,3.41,3.3873846971363486,3.355155177698927,0.0322295194374215,0.01918927319760061
IAG,2021-02-03,3.44,3.5,3.44,3.49,272768,3.49,3.383272823888412,3.350767591914841,0.032505231973571,0.015929211637645362
IAG,2021-02-02,3.44,3.44,3.355,3.4,835177,3.4,3.363867882777214,3.3396289992680286,0.0242388835091853,0.011785206553663944
IAG,2021-02-01,3.5,3.52,3.39,3.39,1270609,3.39,3.3572984069185257,3.3347993192094707,0.0224990877090549,0.008671787314783594
IAG,2021-01-29,3.51,3.55,3.45,3.5111,1016160,3.5111,3.3513526627218937,3.330383264746228,0.0209693979756657,0.005214962216215754
IAG,2021-01-28,3.39,3.48,3.3775,3.39,1264398,3.39,3.3223076923076924,3.315925925925926,0.0063817663817662,0.0012763532763532483
IAG,2021-01-27,3.4,3.4,3.27,3.31,912787,3.31,3.31,3.31,0.0,0.0
