Symbol,Date,Open,High,Low,Close,Volume,GFI SMA,GFI spanTwelveEMA,GFI spanTwntySixEMA,GFI_x,GFI_y
GFI,2021-03-08,9.09,9.24,9.0,9.17,1691163,9.17,8.740507509480185,8.88608522690924,-0.1455777174290542,-0.1972237759131264
GFI,2021-03-05,9.01,9.01,8.77,8.85,641957,8.85,8.66241796574931,8.863372045061979,-0.2009540793126696,-0.2101352905341444
GFI,2021-03-04,8.73,8.81,8.58,8.63,960318,8.63,8.628312141340093,8.864441808666937,-0.2361296673268444,-0.21243059333951309
GFI,2021-03-03,8.43,8.51,8.38,8.425,1252430,8.425,8.628005257947382,8.883197153360292,-0.25519189541291,-0.2065058248426802
GFI,2021-03-02,8.32,8.52,8.32,8.485,1440133,8.485,8.664915304846906,8.919852925629117,-0.2549376207822114,-0.19433430720012276
GFI,2021-03-01,8.36,8.43,8.305,8.335,773497,8.335,8.697627178455434,8.954641159679447,-0.2570139812240128,-0.1791834788046006
GFI,2021-02-26,8.5,8.51,8.3,8.325,948890,8.325,8.763559392720058,9.004212452453803,-0.240653059733745,-0.15972585319974753
GFI,2021-02-25,8.54,8.73,8.52,8.65,1069999,8.65,8.843297464123705,9.058549448650108,-0.215251984526402,-0.13949405156624814
GFI,2021-02-24,8.47,8.49,8.34,8.42,1012841,8.42,8.878442457600741,9.091233404542114,-0.2127909469413733,-0.12055456832620921
GFI,2021-02-23,8.78,8.79,8.48,8.65,1073977,8.65,8.961795631709967,9.144932076905484,-0.183136445195517,-0.09749547367241818
GFI,2021-02-22,8.66,8.7923,8.61,8.735,1054318,8.735,9.018485746566324,9.184526643057922,-0.166040896491598,-0.07608523079164345
GFI,2021-02-19,8.55,8.6,8.5,8.565,1049423,8.565,9.070028609578385,9.220488774502554,-0.150460164924171,-0.0535963143666548
GFI,2021-02-18,8.64,8.79,8.48,8.55,603805,8.55,9.16185199313809,9.27292787646276,-0.1110758833246698,-0.02938035172727619
GFI,2021-02-17,8.86,8.9,8.751,8.81,1313569,8.81,9.273097810072288,9.33076210657978,-0.0576642965074931,-0.008956468827927761
GFI,2021-02-16,9.25,9.3,9.16,9.19,1653234,9.19,9.357297411903613,9.372423075106164,-0.0151256632025518,0.003220488091963145
GFI,2021-02-16,9.25,9.3,9.16,9.19,1653234,9.19,9.387715123158817,9.387016921114656,0.0006982020441572,0.007807025915591887
GFI,2021-02-12,9.35,9.37,9.22,9.335,754143,9.335,9.423663327369509,9.40277827480383,0.0208850525656778,0.009584231883449652
GFI,2021-02-11,9.59,9.67,9.57,9.63,707095,9.63,9.439783932345785,9.408200536788137,0.0315833955576465,0.006759026712892602
GFI,2021-02-10,9.86,9.875,9.7,9.73,703829,9.73,9.405199192772288,9.390456579731188,0.0147426130411005,0.0005529345017036705
GFI,2021-02-09,9.5,9.5,9.335,9.385,573403,9.385,9.346144500549068,9.363293106109683,-0.0171486055606155,-0.002994485133145558
GFI,2021-02-08,9.59,9.63,9.4,9.485,1071301,9.485,9.339079864285262,9.361556554598458,-0.0224766903131961,0.0005440449737219508
GFI,2021-02-05,9.14,9.165,9.05,9.1,373214,9.1,9.312548930518949,9.351681078966337,-0.0391321484473881,0.006299228795451464
GFI,2021-02-04,8.9,9.04,8.67,8.955,1672616,8.955,9.3511941906133,9.371815565283642,-0.0206213746703411,0.017657073106161356
GFI,2021-02-03,9.2,9.31,9.18,9.22,510786,9.22,9.423229497997538,9.405160810506333,0.0180686874912048,0.027226685050286994
GFI,2021-02-02,9.36,9.36,9.22,9.28,831328,9.28,9.460180315815272,9.41997367534684,0.0402066404684315,0.029516184440057533
GFI,2021-02-01,9.61,9.66,9.45,9.5,2525527,9.5,9.49294037323623,9.431171569374587,0.0617688038616428,0.026843570432964016
GFI,2021-01-29,10.02,10.05,9.8,9.89,1360931,9.89,9.491656804733728,9.425665294924556,0.065991509809173,0.018112262075794305
GFI,2021-01-28,9.79,9.835,9.695,9.745,1109456,9.745,9.419230769230769,9.388518518518518,0.0307122507122503,0.006142450142450073
GFI,2021-01-27,9.52,9.54,9.285,9.36,694845,9.36,9.36,9.36,0.0,0.0
