Symbol,Date,Open,High,Low,Close,Volume,TV SMA,TV spanTwelveEMA,TV spanTwntySixEMA,TV_x,TV_y
TV,2021-03-08,7.48,7.48,7.31,7.33,95639,7.33,7.65702576799883,7.911800160145604,-0.254774392146774,-0.18853978665596796
TV,2021-03-05,7.53,7.53,7.39,7.435,88331,7.435,7.716484998544072,7.958344172957252,-0.2418591744131806,-0.17198113528326645
TV,2021-03-04,7.59,7.59,7.5,7.54,87064,7.54,7.767664089188449,8.000211706793833,-0.2325476176053831,-0.1545116255007879
TV,2021-03-03,7.54,7.66,7.54,7.56,55602,7.56,7.809057559949986,8.037028643337338,-0.2279710833873522,-0.1350026274746391
TV,2021-03-02,7.41,7.52,7.4,7.51,91220,7.51,7.854340752668165,8.075190934804326,-0.2208501821361608,-0.1117605134964608
TV,2021-03-01,7.57,7.57,7.37,7.42,184235,7.42,7.916948162244194,8.120406209588673,-0.2034580473444789,-0.08448809633653578
TV,2021-02-26,7.41,7.55,7.18,7.305,379481,7.305,8.00730237356132,8.176438706355768,-0.1691363327944479,-0.05474560858455
TV,2021-02-25,7.91,7.969,7.882,7.92,51860,7.92,8.134993714208832,8.24615380286423,-0.1111600886553976,-0.02614792753207551
TV,2021-02-24,7.71,7.82,7.71,7.8,77871,7.8,8.17408348042862,8.272246107093368,-0.098162626664747,-0.004894887251244985
TV,2021-02-23,7.79,7.83,7.46,7.49,86938,7.49,8.24209865868837,8.310025795660836,-0.0679271369724663,0.018422047602130537
TV,2021-02-22,8.0,8.08,7.935,7.94,126644,7.94,8.378843869358983,8.375627859313703,0.0032160100452802,0.04000934374577975
TV,2021-02-19,8.22,8.31,8.15,8.265,69054,8.265,8.458633663787888,8.410478088058799,0.0481555757290887,0.049207677170904615
TV,2021-02-18,8.5,8.5,8.4,8.43,71483,8.43,8.493839784476595,8.422116335103503,0.071723449373092,0.049470702531358574
TV,2021-02-17,8.58,8.63,8.46,8.565,88431,8.565,8.505447018017794,8.421485641911785,0.0839613761060089,0.0439075158209252
TV,2021-02-16,8.53,8.62,8.5,8.535,102462,8.535,8.494619203111938,8.410004493264728,0.0846147098472105,0.03389405074965425
TV,2021-02-16,8.53,8.62,8.5,8.535,102462,8.535,8.487277240041381,8.400004852725905,0.0872723873154761,0.021213885975265176
TV,2021-02-12,8.75,8.815,8.68,8.81,64806,8.81,8.47860037459436,8.389205240943978,0.0893951336503811,0.00469926064021243
TV,2021-02-11,8.79,8.89,8.69,8.875,52649,8.875,8.418345897247878,8.355541660219496,0.0628042370283825,-0.016474707612329737
TV,2021-02-10,8.63,8.76,8.63,8.74,64171,8.74,8.335317878565675,8.313984993037055,0.0213328855286203,-0.03629444377250781
TV,2021-02-09,8.43,8.61,8.405,8.6,161623,8.6,8.261739311032162,8.279903792480019,-0.0181644814478563,-0.05070127609778984
TV,2021-02-08,8.22,8.48,8.1838,8.395,112053,8.395,8.200237367583464,8.25429609587842,-0.0540587282949562,-0.05883547476027322
TV,2021-02-05,8.13,8.41,8.13,8.35,130892,8.35,8.164825979871367,8.243039783548694,-0.0782138036773272,-0.06002966137660245
TV,2021-02-04,8.05,8.05,7.96,7.96,62956,7.96,8.131157976211615,8.234482966232589,-0.1033249900209742,-0.05548362580142125
TV,2021-02-03,7.96,8.01,7.945,7.96,91571,7.96,8.16227760825009,8.256441603531197,-0.0941639952811073,-0.04352328474653299
TV,2021-02-02,7.95,7.96,7.84,7.93,78988,7.93,8.199055355204651,8.280156931813693,-0.0811015766090417,-0.030863107112889407
TV,2021-02-01,7.73,7.9,7.68,7.9,192163,7.9,8.247974510696405,8.308169486358787,-0.060194975662382,-0.018303489738851327
TV,2021-01-29,8.15,8.32,8.06,8.115,114791,8.115,8.311242603550296,8.34082304526749,-0.0295804417171936,-0.007830618257968639
TV,2021-01-28,8.18,8.3,8.1601,8.22,50838,8.22,8.346923076923076,8.358888888888888,-0.0119658119658119,-0.002393162393162385
TV,2021-01-27,8.69,8.73,8.37,8.37,100083,8.37,8.37,8.37,0.0,0.0
