Symbol,Date,Open,High,Low,Close,Volume,TCDA SMA,TCDA spanTwelveEMA,TCDA spanTwntySixEMA,TCDA_x,TCDA_y
TCDA,2021-03-08,4.7,4.7,4.55,4.56,54989,4.56,5.410606584561141,6.016885119455436,-0.6062785348942947,-0.3434286336447045
TCDA,2021-03-05,4.5,4.5,4.33,4.37,73823,4.37,5.565262327208621,6.133435929011871,-0.5681736018032506,-0.2777161583323069
TCDA,2021-03-04,4.6,4.63,4.35,4.365,299189,4.365,5.782582750337461,6.274510803332822,-0.4919280529953607,-0.2051017974645709
TCDA,2021-03-03,5.14,5.21,4.93,4.955,121357,4.955,6.040325068580636,6.427271667599448,-0.3869465990188123,-0.13339523358187344
TCDA,2021-03-02,4.8,5.04,4.79,4.94,212247,4.94,6.237656899231661,6.545053401007404,-0.3073965017757425,-0.0700073922226387
TCDA,2021-03-01,5.23,5.23,4.9199,5.0001,337852,5.0001,6.473594517273781,6.673457673087996,-0.1998631558142145,-0.010660114834362525
TCDA,2021-02-26,5.19,5.59,5.0,5.125,849626,5.125,6.74150261132356,6.807326286935036,-0.0658236756114751,0.036640645410600484
TCDA,2021-02-25,7.78,7.78,7.4501,7.49,63179,7.49,7.035412177018753,6.941912389889838,0.0934997871289153,0.06225672566611962
TCDA,2021-02-24,7.08,7.3397,7.01,7.3397,121262,7.3397,6.952759845567617,6.898065381081024,0.0546944644865927,0.05444596030042067
TCDA,2021-02-23,7.0,7.04,6.81,6.955,105735,6.955,6.882407090216275,6.8627346115675065,0.0196724786487685,0.05438383425387764
TCDA,2021-02-22,6.9,6.935,6.829,6.89,30498,6.89,6.869208379346507,6.855353380492907,0.0138549988535991,0.06306167315515492
TCDA,2021-02-19,6.63,6.85,6.5614,6.63,43851,6.63,6.865428084682236,6.85258165093234,0.0128464337498961,0.07536334173054383
TCDA,2021-02-18,6.9,6.9,6.73,6.73,25684,6.73,6.908233190988097,6.870388183006927,0.0378450079811703,0.09099256872570576
TCDA,2021-02-17,6.8,6.86,6.57,6.63,77898,6.63,6.9406392257132055,6.881619237647481,0.0590199880657245,0.10427945891183962
TCDA,2021-02-16,6.93,6.935,6.74,6.865,63000,6.865,6.997119084933788,6.901748776659279,0.0953703082745089,0.11559432662336838
TCDA,2021-02-16,6.93,6.935,6.74,6.865,63000,6.865,7.02114073673993,6.904688678792021,0.1164520579479093,0.12065033121058322
TCDA,2021-02-12,7.06,7.06,6.86,6.86,69074,6.86,7.049529961601735,6.907863773095383,0.1416661885063517,0.12169989952625167
TCDA,2021-02-11,7.3,7.39,7.21,7.26,81005,7.26,7.0839899546202325,6.9116928749430135,0.1722970796772189,0.11670832728122665
TCDA,2021-02-10,7.31,7.4067,7.28,7.34,37729,7.34,7.051988128187548,6.883828304938455,0.168159823249093,0.10281113918222858
TCDA,2021-02-09,7.38,7.39,7.18,7.3611,130398,7.3611,6.999622333312557,6.847334569333532,0.1522877639790252,0.08647396816551245
TCDA,2021-02-08,7.4,7.41,7.19,7.25,64137,7.25,6.933899121187567,6.806233334880214,0.1276657863073529,0.07002051921213447
TCDA,2021-02-05,7.29,7.29,7.04,7.11,155938,7.11,6.8764262341307605,6.770732001670631,0.1056942324601299,0.05560920243832984
TCDA,2021-02-04,6.99,7.38,6.89,7.13,357646,7.13,6.83395827669999,6.7435905618042815,0.0903677148957085,0.04308794493288002
TCDA,2021-02-03,6.92,7.1,6.9,7.01,79457,7.01,6.78013250882726,6.712677806748625,0.0674547020786358,0.0312680024421729
TCDA,2021-02-02,7.0,7.0,6.75,6.89,58090,6.89,6.738338419523126,6.688892031288514,0.0494463882346121,0.022221327533057177
TCDA,2021-02-01,6.8,6.8,6.6,6.7899,55430,6.7899,6.710763586709149,6.672803393791596,0.037960192917553,0.01541506235766844
TCDA,2021-01-29,6.89,6.955,6.79,6.8499,108211,6.8499,6.696375147928994,6.663435665294924,0.0329394826340703,0.009778779717697292
TCDA,2021-01-28,6.88,7.03,6.83,6.88,24724,6.88,6.668461538461538,6.648518518518518,0.0199430199430201,0.003988603988604034
TCDA,2021-01-27,6.86,6.86,6.45,6.63,131234,6.63,6.63,6.63,0.0,0.0
