Symbol,Date,Open,High,Low,Close,Volume,NGD SMA,NGD spanTwelveEMA,NGD spanTwntySixEMA,NGD_x,NGD_y
NGD,2021-03-08,1.61,1.63,1.573,1.595,902033,1.595,1.618167618115813,1.6768869454772546,-0.0587193273614417,-0.053894744037726046
NGD,2021-03-05,1.58,1.585,1.525,1.5401,674423,1.5401,1.622379912318688,1.683437901115435,-0.061057988796747,-0.05268859820679713
NGD,2021-03-04,1.6,1.6201,1.56,1.57,602758,1.57,1.6373398963766312,1.69490493320467,-0.0575650368280387,-0.05059625055930964
NGD,2021-03-03,1.65,1.66,1.61,1.61,1192877,1.61,1.649583513899655,1.7048973278610435,-0.0553138139613884,-0.04885405399212737
NGD,2021-03-02,1.56,1.625,1.56,1.62,803044,1.62,1.6567805164268652,1.712489114089927,-0.0557085976630618,-0.047239113999812093
NGD,2021-03-01,1.66,1.68,1.61,1.63,1406721,1.63,1.6634678830499317,1.719888243217121,-0.0564203601671893,-0.04512174308399967
NGD,2021-02-26,1.61,1.62,1.55,1.55,1307139,1.55,1.6695529526953738,1.7270793026744906,-0.0575263499791167,-0.04229708881320225
NGD,2021-02-25,1.67,1.74,1.66,1.7,566279,1.7,1.6912898531854417,1.7412456468884496,-0.0499557937030079,-0.03848977352172362
NGD,2021-02-24,1.68,1.69,1.62,1.6381,837215,1.6381,1.6897061901282493,1.7445452986395256,-0.0548391085112762,-0.035623268476402535
NGD,2021-02-23,1.72,1.72,1.58,1.64,2165365,1.64,1.699089133787931,1.7530609225306877,-0.0539717887427566,-0.030819308467684096
NGD,2021-02-22,1.56,1.62,1.54,1.6094,1466085,1.6094,1.709832612658464,1.7621057963331426,-0.0522731836746785,-0.02503118839891596
NGD,2021-02-19,1.62,1.62,1.55,1.585,784206,1.585,1.7280930876872755,1.774322260039794,-0.0462291723525183,-0.0182206895799753
NGD,2021-02-18,1.63,1.66,1.61,1.63,1172389,1.63,1.7541100127213256,1.7894680408429773,-0.0353580281216516,-0.011218568886839484
NGD,2021-02-17,1.7,1.7,1.63,1.675,2568131,1.675,1.7766754695797486,1.8022254841104155,-0.0255500145306666,-0.005183704078136435
NGD,2021-02-16,1.74,1.74,1.705,1.72,1504290,1.72,1.7951619185942485,1.8124035228392483,-0.017241604245,-9.212646500382938e-05
NGD,2021-02-16,1.74,1.74,1.705,1.72,1504290,1.72,1.8088277219750208,1.8197958046663885,-0.0109680826913676,0.004195242979995182
NGD,2021-02-12,1.74,1.76,1.72,1.7481,616212,1.7481,1.82497821687957,1.8277794690397,-0.0028012521601294,0.007986074397835883
NGD,2021-02-11,1.82,1.84,1.7901,1.8213,713933,1.8213,1.8389560744940372,1.834153826562876,0.0048022479311617,0.010682906037327338
NGD,2021-02-10,1.83,1.85,1.8081,1.815,934379,1.815,1.8421662698565897,1.8351821326879056,0.0069841371686838,0.01215307056386889
NGD,2021-02-09,1.89,1.9,1.835,1.8513,813424,1.8513,1.847105591648697,1.8367967033029384,0.0103088883457584,0.013445303912665093
NGD,2021-02-08,1.9,1.9,1.86,1.89,1014446,1.89,1.84634297194846,1.8356364395671736,0.0107065323812862,0.014229407804391744
NGD,2021-02-05,1.79,1.8,1.75,1.77,2374632,1.77,1.8384053304845436,1.831287354732548,0.0071179757519956,0.015110126660168055
NGD,2021-02-04,1.82,1.83,1.69,1.7293,4047201,1.7293,1.8508426632999149,1.8361903431111517,0.0146523201887633,0.017108164387211147
NGD,2021-02-03,1.89,1.92,1.83,1.855,2038136,1.855,1.8729413293544448,1.8447415705600436,0.0281997587944013,0.017722125436823142
NGD,2021-02-02,1.98,2.0,1.91,1.94,2475378,1.94,1.8762033892370715,1.8439208962048468,0.0322824930322245,0.015102717097428633
NGD,2021-02-01,2.05,2.08,1.935,1.935,2528083,1.935,1.8646040054619932,1.8362345679012344,0.0283694375607588,0.010807773113729604
NGD,2021-01-29,1.99,2.02,1.92,1.995,2263241,1.995,1.8518047337278103,1.8283333333333331,0.0234714003944771,0.006417357001972298
NGD,2021-01-28,1.89,1.96,1.88,1.94,1650511,1.94,1.8257692307692304,1.815,0.0107692307692306,0.002153846153846084
NGD,2021-01-27,1.87,1.87,1.78,1.805,1545968,1.805,1.805,1.805,0.0,0.0
