Symbol,Date,Open,High,Low,Close,Volume,TV SMA,TV spanTwelveEMA,TV spanTwntySixEMA,TV_x,TV_y
TV,2021-03-11,7.98,7.98,7.98,7.98,7772,7.98,7.728543293557271,7.830780715298412,-0.1022374217411412,-0.1063276538637663
TV,2021-03-10,7.69,7.73,7.69,7.73,2134,7.73,7.682823892385866,7.818843172522286,-0.136019280136419,-0.10735021189442255
TV,2021-03-09,7.74,7.75,7.715,7.74,11022,7.74,7.674246418274206,7.825950626324069,-0.1517042080498631,-0.10018294483392319
TV,2021-03-08,7.48,7.48,7.4,7.42,8865,7.42,7.662291221596789,7.832826676429994,-0.1705354548332058,-0.08730262902993818
TV,2021-03-05,7.53,7.53,7.44,7.44,7002,7.44,7.706344170978023,7.865852810544394,-0.1595086395663703,-0.06649442257912147
TV,2021-03-04,7.59,7.59,7.52,7.52,8061,7.52,7.754770383883119,7.899921035387945,-0.1451506515048262,-0.043240868332309265
TV,2021-03-03,7.54,7.55,7.54,7.55,3860,7.55,7.797455908225504,7.93031471821898,-0.1328588099934764,-0.017763422539180028
TV,2021-03-02,7.41,7.45,7.4,7.45,6664,7.45,7.842447891539232,7.960739895676498,-0.1182920041372668,0.011010424324394079
TV,2021-03-01,7.57,7.57,7.52,7.52,7954,7.52,7.913802053637274,8.001599087330618,-0.0877970336933442,0.043336031439809075
TV,2021-02-26,7.41,7.43,7.18,7.265,80357,7.265,7.985402427025869,8.040127014317067,-0.0547245872911972,0.0761192977230974
TV,2021-02-25,7.91,7.91,7.91,7.91,1210,7.91,8.116384686485118,8.102137175462433,0.0142475110226847,0.10883026897667106
TV,2021-02-24,7.71,7.8,7.71,7.73,14213,7.73,8.153909174936958,8.117508149499427,0.0364010254375308,0.13247595846516763
TV,2021-02-23,7.79,7.8,7.79,7.79,4516,7.79,8.23098357038004,8.14850880145938,0.0824747689206599,0.1564946917220768
TV,2021-02-22,8.0,8.0,7.9406,7.9406,7069,7.9406,8.31116240135823,8.17718950557613,0.1339728957820991,0.174999672422431
TV,2021-02-19,8.22,8.31,8.15,8.18,4452,8.18,8.378537383423362,8.19611666602222,0.1824207174011416,0.18525636658251396
TV,2021-02-18,8.5,8.5,8.5,8.5,3058,8.5,8.414635089500337,8.197405999303998,0.2172290901963389,0.18596527887785702
TV,2021-02-17,8.58,8.63,8.5,8.5,6666,8.5,8.399114196682216,8.173198479248319,0.2259157174338977,0.1781493260482365
TV,2021-02-16,8.53,8.56,8.53,8.56,3737,8.56,8.38077132335171,8.147054357588184,0.2337169657635254,0.16620772820182117
TV,2021-02-16,8.53,8.56,8.53,8.56,3737,8.56,8.348184291233839,8.114018706195237,0.2341655850386015,0.14933041881139508
TV,2021-02-12,8.75,8.75,8.75,8.75,2651,8.75,8.309672344185445,8.078340202690855,0.2313321414945903,0.12812162725459347
TV,2021-02-11,8.79,8.8,8.775,8.775,2493,8.775,8.229612770400982,8.024607418906124,0.205005351494858,0.10231899869459422
TV,2021-02-10,8.63,8.68,8.63,8.68,3463,8.68,8.130451455928432,7.964576012418613,0.1658754435098188,0.07664741049452828
TV,2021-02-09,8.43,8.45,8.405,8.43,6734,8.43,8.03053353882451,7.907342093412101,0.1231914454124094,0.05434040224070563
TV,2021-02-08,8.22,8.32,8.1838,8.32,20520,8.32,7.957903273156241,7.865529460885069,0.0923738122711714,0.03712764144777968
TV,2021-02-05,8.13,8.19,8.13,8.15,2780,8.15,7.8920675046391935,7.829171817755875,0.0628956868833183,0.023316098741931725
TV,2021-02-04,8.05,8.05,8.05,8.05,2218,8.05,7.845170687300865,7.803505563176345,0.0416651241245196,0.013421201706585058
TV,2021-02-03,7.96,7.97,7.95,7.97,3092,7.97,7.80792899408284,7.783786008230452,0.0241429858523876,0.00636022110210142
TV,2021-02-02,7.95,7.95,7.87,7.88,16679,7.88,7.778461538461538,7.768888888888888,0.0095726495726493,0.0019145299145298723
TV,2021-02-01,7.73,7.77,7.73,7.76,15812,7.76,7.76,7.76,0.0,0.0
