Symbol,Date,Open,High,Low,Close,Volume,PHAS SMA_x,PHAS spanTwelveEMA_x,PHAS spanTwntySixEMA_x,PHAS_x,PHAS_y,PHAS SMA_y,PHAS spanTwelveEMA_y,PHAS spanTwntySixEMA_y,PHAS_x,PHAS_y
PHAS,2021-02-08,4.35,4.38,4.33,4.3503,61395,4.3503,4.123461408333358,4.060567705325584,0.06289370300777541,0.052246784358129066,4.3503,4.127925026417908,4.098514474129618,0.02941055228829015,0.05224678435812894
PHAS,2021-02-05,4.25,4.25,4.1,4.1957,32452,4.1957,4.082218028030332,4.037389121751629,0.04482890627870262,0.049585054695717695,4.1957,4.087493213039346,4.078371632059986,0.009121580979359223,0.049585054695717765
PHAS,2021-02-04,4.2,4.25,4.2,4.22,10978,4.219999999999999,4.0615849422176655,4.02472425149176,0.03686069072590481,0.050774091799971464,4.219999999999999,4.0678192517737735,4.068985362624786,-0.0011661108510123694,0.05077409179997155
PHAS,2021-02-03,4.11,4.1774,4.11,4.135,14586,4.134999999999999,4.032782204439059,4.009102191611101,0.023680012827957952,0.05425244206848789,4.134999999999999,4.04015002482355,4.056904191634769,-0.016754166811218774,0.054252442068488005
PHAS,2021-02-02,3.85,3.98,3.85,3.95,20031,3.9499999999999993,4.0141971507007055,3.999030366939989,0.015166783760716562,0.06189554937862037,3.9499999999999993,4.022904574791468,4.0506565269655495,-0.027751952174082103,0.06189554937862051
PHAS,2021-02-01,3.9,3.99,3.79,3.8199,21489,3.8199,4.0258693599190165,4.002952796295188,0.02291656362382799,0.07357774078309633,3.8199,4.0361599520262805,4.058709049122793,-0.02254909709651365,0.07357774078309649
PHAS,2021-01-29,3.79,3.8499,3.77,3.83,7032,3.83,4.063318334449746,4.017597019998803,0.04572131445094296,0.08624303507291319,3.83,4.075479943303786,4.0778137730526165,-0.0023338297488315622,0.08624303507291338
PHAS,2021-01-28,3.93,3.93,3.83,3.9,12705,3.9,4.1057398498042454,4.032604781598708,0.07313506820553782,0.09637346522840573,3.9,4.12011266026811,4.097638874896827,0.022473785371283302,0.09637346522840598
PHAS,2021-01-27,4.02,4.06,3.84,3.98,63581,3.9799999999999986,4.143147095223198,4.0432131641266045,0.09993393109659454,0.10218306448412293,3.979999999999999,4.160133143953222,4.1134499848885735,0.04668315906464837,0.10218306448412301
PHAS,2021-01-26,4.33,4.37,4.3086,4.3299,17521,4.329899999999999,4.172810203445598,4.048270217256733,0.12453998618886608,0.10274534783100522,4.3298999999999985,4.192884624671988,4.124125983679659,0.06875864099232931,0.10274534783100533
PHAS,2021-01-25,4.33,4.36,4.2517,4.3349,9361,4.334899999999998,4.14424842225389,4.025739834637272,0.11850858761661788,0.09729668824154022,4.334899999999998,4.1679727382487135,4.107664062374032,0.060308675874681576,0.09729668824154036
PHAS,2021-01-22,4.16,4.2473,4.16,4.24,10231,4.239999999999998,4.109584499027323,4.0010070214082525,0.10857747761907087,0.0919937133977708,4.239999999999998,4.137622327021207,4.0894851873639535,0.048137139657252526,0.09199371339777099
PHAS,2021-01-21,4.0,4.1899,4.0,4.065,37481,4.065,4.085872589759565,3.981887583120913,0.10398500663865072,0.08784777234244577,4.065,4.1190082046614265,4.077444002353071,0.041564202308356,0.087847772342446
PHAS,2021-01-20,4.21,4.24,4.18,4.205,40612,4.204999999999999,4.089667606079487,3.9752385897705875,0.11442901630889812,0.08381346376839433,4.204999999999999,4.128827878236232,4.078439522541316,0.050388355694915184,0.08381346376839449
PHAS,2021-01-19,4.13,4.19,4.12,4.17,15774,4.17,4.06869807991212,3.9568576769522346,0.1118404029598854,0.07615957563326825,4.17,4.1149784015519115,4.068314684344622,0.04666371720728879,0.07615957563326814
PHAS,2021-01-19,4.13,4.19,4.12,4.17,15774,4.17,4.050279548987051,3.9398062911084133,0.11047325787863782,0.06723936880161396,4.17,4.104974474561349,4.060179859092192,0.044794615469156966,0.06723936880161382
PHAS,2021-01-15,4.4,4.45,4.3,4.3001,126003,4.300099999999999,4.028512194257424,3.921390794397088,0.10712139986033707,0.05643089653235789,4.300099999999999,4.093151651754321,4.051394247819567,0.04175740393475458,0.056430896532357826
PHAS,2021-01-14,4.0,4.2,4.0,4.1901,54842,4.190099999999998,3.9791325932133184,3.8910940579488535,0.08803853526446481,0.04375827070036331,4.190099999999998,4.055524679346016,4.031497787645132,0.0240268917008839,0.04375827070036334
PHAS,2021-01-13,4.17,4.17,4.1,4.135,8197,4.134999999999999,3.9407748828884666,3.867173582584762,0.07360130030370549,0.032688204559337936,4.134999999999999,4.031056439227109,4.018809610656743,0.012246828570366295,0.03268820455933796
PHAS,2021-01-12,4.06,4.1398,4.0406,4.1398,16766,4.139799999999998,3.905461225231825,3.8457474691915428,0.059713756040282284,0.02245993062324616,4.139799999999998,4.0121576099956755,4.009514379509283,0.002643230486391701,0.022459930623246305
