Symbol,Date,Open,High,Low,Close,Volume,ASC SMA_x,ASC spanTwelveEMA_x,ASC spanTwntySixEMA_x,ASC_x,ASC_y,ASC SMA_y,ASC spanTwelveEMA_y,ASC spanTwntySixEMA_y,ASC_x,ASC_y
ASC,2021-02-08,3.81,3.99,3.77,3.9411,127830,3.9411,3.504523327881328,3.4586770393800403,0.04584628850128825,0.004126218947701129,3.9411,3.506660847648825,3.4747223844277615,0.03193846322106308,0.004126218947701217
ASC,2021-02-05,3.6,3.645,3.57,3.59,57254,3.5900000000000003,3.4251457511324785,3.420083202530443,0.005062548602035477,-0.006303798440695429,3.5900000000000003,3.4276719108577023,3.4374121751819837,-0.009740264324280991,-0.006303798440695429
ASC,2021-02-04,3.46,3.52,3.435,3.45,27893,3.450000000000001,3.3951722513383835,3.4064898587328787,-0.011317607394495166,-0.009145385201378156,3.450000000000001,3.39815771283183,3.425205149196542,-0.027047436364711963,-0.009145385201378156
ASC,2021-02-03,3.37,3.5,3.37,3.5,81522,3.5000000000000013,3.3852035697635445,3.403009047431509,-0.01780547766796436,-0.008602329653098902,3.5000000000000013,3.3887318424376174,3.4232215611322654,-0.034489718694648015,-0.008602329653098902
ASC,2021-02-02,3.37,3.42,3.29,3.31,32827,3.3100000000000005,3.3643314915387346,3.39524977122603,-0.030918279687295325,-0.006301542649382536,3.3100000000000005,3.3685012683353657,3.4170792860228465,-0.04857801768748127,-0.006301542649382536
ASC,2021-02-01,3.26,3.33,3.25,3.3193,61294,3.3193000000000006,3.3742099445457767,3.4020697529241124,-0.02785980837833524,-0.00014735838990433906,3.3193000000000006,3.379137862578159,3.425645628904675,-0.04650776632651565,-0.00014735838990433906
ASC,2021-01-29,3.19,3.33,3.19,3.2827,26223,3.2827,3.384193570826828,3.4086913331580413,-0.024497762331213924,0.006780754107203497,3.2827,3.3900174739560063,3.434153279217049,-0.04413580526104255,0.006780754107203497
ASC,2021-01-28,3.32,3.35,3.27,3.27,33576,3.27,3.4026469473407968,3.4187706398106847,-0.016123692469888873,0.01460038321680774,3.27,3.4095297419480075,3.4462695415544125,-0.036739799606404944,0.01460038321680774
ASC,2021-01-27,3.33,3.59,3.33,3.41,95967,3.41,3.4267645741300314,3.4306722909955387,-0.0039077168655072825,0.02228140213848167,3.41,3.4348987859385542,3.460371104878765,-0.02547231894021129,0.02228140213848167
ASC,2021-01-26,3.33,3.45,3.295,3.45,52901,3.45,3.4298126785173104,3.4323260742751818,-0.002513395757871795,0.028828681889478906,3.45,3.439425837927382,3.464400793269067,-0.0249749553416847,0.028828681889478906
ASC,2021-01-25,3.31,3.35,3.24,3.28,78770,3.2799999999999985,3.4261422564295487,3.4309121602171966,-0.004769903787647857,0.03666420130131647,3.2799999999999985,3.4375032630050883,3.4655528567305915,-0.02804959372550364,0.036664201301316465
ASC,2021-01-22,3.3,3.35,3.2686,3.3,23325,3.2999999999999985,3.4527135757803764,3.442985133034572,0.009728442745803978,0.04702272757355755,3.2999999999999985,3.466140219915105,3.48039708526904,-0.014256865353934778,0.04702272757355755
ASC,2021-01-21,3.31,3.3473,3.25,3.25,21895,3.2499999999999987,3.480479680467717,3.454423943677338,0.026055736790379317,0.056346298780495824,3.2499999999999987,3.4963475326269418,3.4948288520905626,0.0015186805363791578,0.056346298780495824
