Symbol,Date,Open,High,Low,Close,Volume,EOD SMA_x,EOD spanTwelveEMA_x,EOD spanTwntySixEMA_x,EOD_x,EOD_y,EOD SMA_y,EOD spanTwelveEMA_y,EOD spanTwntySixEMA_y,EOD_x,EOD_y
EOD,2021-02-08,5.09,5.12,5.09,5.12,82069,5.12,5.018416861234531,4.984034963565267,0.034381897669264916,0.026705656146333332,5.12,5.020215200599861,4.998100674137016,0.0221145264628424,0.026705656146333127
EOD,2021-02-05,5.08,5.085,5.07,5.07,10420,5.070000000000001,4.9999471996408085,4.973157760650488,0.026789438990322267,0.024786595765600654,5.070000000000001,5.0020725097998335,4.988348728067979,0.013723781731854956,0.024786595765600397
EOD,2021-02-04,5.02,5.03,5.02,5.02,20439,5.02,4.9872103268482295,4.965410381502529,0.02179994534570362,0.02428588495942069,5.02,4.9897220570361664,4.9818166263134165,0.007905430722749962,0.02428588495942037
EOD,2021-02-03,5.02,5.03,5.01,5.02,16289,5.02,4.9812485680933625,4.961043212022728,0.02020535607063324,0.024907369862850186,5.02,4.984216976497288,4.978761956418491,0.005455020078797722,0.02490736986285022
EOD,2021-02-02,4.95,5.0,4.94,4.99,43908,4.99,4.974202853201247,4.956326668984547,0.01787618421669901,0.0260828733109042,4.99,4.977710972224067,4.9754629129319685,0.00224805929209726,0.026082873310904243
EOD,2021-02-01,4.94,4.94,4.86,4.9,122012,4.9,4.971330644692381,4.95363280250331,0.017697842189071444,0.028134545584455262,4.9,4.975476603537533,4.974299945966528,0.0011766575710066007,0.028134545584455106
EOD,2021-01-29,4.97,4.9814,4.95,4.955,16115,4.955,4.9842998528182685,4.9579234267035766,0.0263764261146946,0.03074372143330122,4.955,4.989199622362539,4.980243941643848,0.008955680718690573,0.03074372143330102
EOD,2021-01-28,4.95,4.97,4.95,4.9658,51749,4.9658,4.9896270987852285,4.9581573008398605,0.03146979794536797,0.03183554526295332,4.9658,4.995417735519363,4.982263456975357,0.013154278544007523,0.03183554526295329
EOD,2021-01-27,5.0,5.01,4.98,4.99,25797,4.99,4.993959298564361,4.9575458849070495,0.03641341365731154,0.03192698209234965,4.99,5.0008027783410665,4.9835805335333845,0.017222244807681975,0.03192698209234962
EOD,2021-01-26,5.04,5.05,5.03,5.0371,15542,5.0371000000000015,4.994679171030608,4.9549495556996135,0.039729615330995394,0.030805374201109174,5.0371000000000015,5.002766919857626,4.983066976216056,0.01969994364157035,0.030805374201109143
