Symbol,Date,Open,High,Low,Close,Volume,MRKR SMA_x,MRKR spanTwelveEMA_x,MRKR spanTwntySixEMA_x,MRKR_x,MRKR_y,MRKR SMA_y,MRKR spanTwelveEMA_y,MRKR spanTwntySixEMA_y,MRKR_x,MRKR_y
MRKR,2021-02-08,2.27,2.4423,2.23,2.43,217561,2.43,2.0421059678196167,1.9268610435259468,0.11524492429366995,0.09727849110172043,2.43,2.0496688042210884,1.9899814800640168,0.059687324157071675,0.09727849110172052
MRKR,2021-02-05,2.18,2.18,2.1,2.14,93347,2.14,1.9715797801504562,1.8866099270080223,0.08496985314243366,0.09278688280373304,2.14,1.9805176777158318,1.954779998469138,0.0257376792466939,0.09278688280373315
MRKR,2021-02-04,2.08,2.09,2.03,2.06,153233,2.06,1.9409579219959936,1.8663387211686644,0.07461920082732942,0.0947411402190579,2.06,1.9515208918459832,1.9399623983466687,0.011558493499314038,0.09474114021905797
MRKR,2021-02-03,1.85,1.9434,1.85,1.93,41969,1.93,1.919313907813448,1.8508458188621573,0.06846808895128986,0.09977162506699007,1.93,1.9317974176361616,1.9303593902144027,0.001438027421759358,0.09977162506699015
MRKR,2021-02-02,1.91,1.94,1.8501,1.8796,27235,1.8796,1.917370981961347,1.8445134843711304,0.07285749759021676,0.107597509095915,1.8796,1.9321242208427367,1.930388141431555,0.0017360794111822564,0.10759750909591499
MRKR,2021-02-01,1.96,1.96,1.84,1.86,33584,1.8600000000000003,1.9242384332270464,1.8417065631208207,0.08253187010622565,0.1162825119723396,1.8600000000000003,1.94167407917778,1.9344511927460792,0.007222886431700992,0.1162825119723396
MRKR,2021-01-29,1.9,1.9,1.81,1.84,17840,1.84,1.9359181483592365,1.8402430881704863,0.09567506018875016,0.12472017243886807,1.84,1.9565239117555584,1.9404072881657652,0.01611662358979293,0.12472017243886807
MRKR,2021-01-28,1.89,2.01,1.89,1.9,114063,1.9,1.95335781169728,1.840262535224125,0.11309527647315455,0.13198145050139756,1.9,1.977710077529296,1.9484398712190267,0.02927020631026944,0.13198145050139753
MRKR,2021-01-27,1.98,1.9826,1.88,1.92,77516,1.9200000000000004,1.963059232005876,1.835483538042056,0.1275756939638204,0.1367029940084582,1.9200000000000004,1.9918391825346229,1.952315060916549,0.039524121618073726,0.13670299400845817
MRKR,2021-01-26,2.03,2.03,1.99,2.02,19391,2.0200000000000005,1.970888183279672,1.82872222108542,0.1421659621942517,0.13898481901961762,2.0200000000000005,2.0049008520863723,1.9549002657898729,0.050000586296499394,0.1389848190196177
MRKR,2021-01-25,2.03,2.05,2.02,2.0216,19133,2.0216000000000007,1.9619587620577927,1.8134199987722528,0.14853876328553994,0.13818953322595912,2.0216000000000007,2.0021555524657124,1.9496922870530629,0.05246326541264956,0.1381895332259591
MRKR,2021-01-22,2.02,2.0262,1.974,2.0199,67434,2.0199000000000007,1.9511149006137558,1.7967655986740336,0.15434930193972218,0.1356022257110639,2.0199000000000007,1.9986201983685692,1.943939670017308,0.054680528351261685,0.13560222571106387
MRKR,2021-01-21,2.27,2.27,2.05,2.0644,110988,2.064400000000001,1.9386085189071665,1.7789148465679565,0.15969367233920972,0.13091545665389928,2.064400000000001,1.9947511435264909,1.9378628436186924,0.05688829990779865,0.13091545665389928
MRKR,2021-01-20,2.06,2.0646,2.01,2.05,37643,2.0500000000000007,1.915737340526651,1.7560760342933928,0.15966130623325792,0.12372090273257165,2.0500000000000007,1.9820877150767624,1.9277398711081883,0.054347843968574505,0.12372090273257161
MRKR,2021-01-19,2.07,2.09,1.94,2.02,136036,2.0200000000000005,1.8913259478951328,1.7325621170368641,0.15876383085826862,0.11473580185740005,2.0200000000000005,1.9697400269089007,1.9179590607968429,0.05178096611205829,0.11473580185739998
MRKR,2021-01-19,2.07,2.09,1.94,2.02,136036,2.020000000000001,1.867930665694248,1.7095670863998134,0.15836357929443426,0.10372879460718283,2.020000000000001,1.960601849983247,1.9097957856605905,0.05080606432265666,0.10372879460718282
MRKR,2021-01-15,2.14,2.18,2.13,2.14,77896,2.140000000000001,1.8402816958204744,1.6847324533117984,0.15554924250867594,0.09007009843536988,2.140000000000001,1.9498021863438368,1.9009794485134373,0.04882273783039959,0.09007009843536984
MRKR,2021-01-14,2.1,2.18,2.08,2.12,124681,2.120000000000001,1.7857874586969245,1.6483110495767423,0.1374764091201821,0.07370031241704332,2.120000000000001,1.9152207656790805,1.8818578043945124,0.03336296128456784,0.0737003124170433
MRKR,2021-01-13,2.0896,2.14,2.0501,2.12,265878,2.120000000000002,1.7250215420963653,1.6105759335428818,0.11444560855348353,0.05775628824125864,2.120000000000002,1.8779881776207312,1.8628064287460733,0.015181748874657732,0.0577562882412586
MRKR,2021-01-12,1.86,1.9,1.85,1.88,71200,1.8800000000000017,1.6532072770229769,1.569822008226312,0.08338526879666497,0.043583958163202416,1.8800000000000017,1.833986028097228,1.8422309430457595,-0.008244914948531523,0.043583958163202374
MRKR,2021-01-11,1.78,1.8039,1.76,1.785,86844,1.7850000000000021,1.6119722364817002,1.5450077688844173,0.06696446759728293,0.033633630504836774,1.785000000000002,1.8256198513876332,1.8392094184894199,-0.013589567101787159,0.03363363050483672
MRKR,2021-01-08,1.72,1.74,1.66,1.6998,23342,1.6998000000000018,1.5805126431147367,1.5258083903951711,0.054704252719566034,0.02530092123172524,1.6998000000000018,1.833005278912657,1.8435461719685735,-0.010540893055916769,0.025300921231725164
MRKR,2021-01-07,1.71,1.74,1.68,1.7128,81488,1.712800000000002,1.5588240327719616,1.5118890616267844,0.0469349711451772,0.017950088359765092,1.712800000000002,1.85722442053314,1.85504586572606,0.0021785548070802907,0.017950088359765057
MRKR,2021-01-06,1.71,1.7243,1.65,1.675,84867,1.675000000000002,1.530828402366864,1.4958161865569266,0.03501221580993685,0.010703867663412064,1.675000000000002,1.88348340608462,1.8664255349841443,0.017057871100475408,0.010703867663412022
MRKR,2021-01-05,1.74,1.85,1.65,1.75,494208,1.750000000000002,1.504615384615385,1.4814814814814814,0.02313390313390329,0.004626780626780703,1.750000000000002,1.9213894799181868,1.8817395777828758,0.039649902135310944,0.0046267806267807025
MRKR,2021-01-04,1.45,1.47,1.41,1.46,41500,1.4600000000000015,1.46,1.46,0.0,0.0,1.4600000000000015,1.952551203539676,1.8922787440055064,0.06027245953416949,0.0
MRKR,2021-02-08,2.27,2.4423,2.23,2.43,217561,,,,,,2.430000000000002,2.0421059678196167,1.9268610435259468,0.11524492429366995,
MRKR,2021-02-05,2.18,2.18,2.1,2.14,93347,,,,,,2.140000000000002,1.971579780150456,1.8866099270080223,0.08496985314243366,
MRKR,2021-02-04,2.08,2.09,2.03,2.06,153233,,,,,,2.0600000000000023,1.9409579219959936,1.8663387211686644,0.07461920082732942,
MRKR,2021-02-03,1.85,1.9434,1.85,1.93,41969,,,,,,1.9300000000000024,1.9193139078134476,1.8508458188621573,0.06846808895128986,
MRKR,2021-02-02,1.91,1.94,1.8501,1.8796,27235,,,,,,1.8796000000000024,1.917370981961347,1.8445134843711304,0.07285749759021676,
MRKR,2021-02-01,1.96,1.96,1.84,1.86,33584,,,,,,1.860000000000002,1.9242384332270464,1.8417065631208207,0.08253187010622565,
MRKR,2021-01-29,1.9,1.9,1.81,1.84,17840,,,,,,1.8400000000000016,1.9359181483592365,1.8402430881704863,0.09567506018875016,
MRKR,2021-01-28,1.89,2.01,1.89,1.9,114063,,,,,,1.900000000000002,1.95335781169728,1.840262535224125,0.11309527647315455,
MRKR,2021-01-27,1.98,1.9826,1.88,1.92,77516,,,,,,1.9200000000000021,1.963059232005876,1.8354835380420556,0.1275756939638204,
MRKR,2021-01-26,2.03,2.03,1.99,2.02,19391,,,,,,2.0200000000000022,1.9708881832796716,1.82872222108542,0.1421659621942517,
MRKR,2021-01-25,2.03,2.05,2.02,2.0216,19133,,,,,,2.0216000000000025,1.9619587620577932,1.8134199987722532,0.14853876328553994,
MRKR,2021-01-22,2.02,2.0262,1.974,2.0199,67434,,,,,,2.019900000000004,1.951114900613756,1.7967655986740336,0.15434930193972218,
MRKR,2021-01-21,2.27,2.27,2.05,2.0644,110988,,,,,,2.0644000000000027,1.9386085189071662,1.7789148465679565,0.15969367233920972,
MRKR,2021-01-20,2.06,2.0646,2.01,2.05,37643,,,,,,2.0500000000000025,1.915737340526651,1.7560760342933928,0.15966130623325792,
MRKR,2021-01-19,2.07,2.09,1.94,2.02,136036,,,,,,2.0200000000000022,1.8913259478951328,1.732562117036864,0.15876383085826862,
MRKR,2021-01-19,2.07,2.09,1.94,2.02,136036,,,,,,2.0200000000000027,1.867930665694248,1.7095670863998134,0.15836357929443426,
MRKR,2021-01-15,2.14,2.18,2.13,2.14,77896,,,,,,2.1400000000000032,1.8402816958204744,1.6847324533117984,0.15554924250867594,
MRKR,2021-01-14,2.1,2.18,2.08,2.12,124681,,,,,,2.120000000000003,1.7857874586969245,1.6483110495767423,0.1374764091201821,
MRKR,2021-01-13,2.0896,2.14,2.0501,2.12,265878,,,,,,2.120000000000004,1.7250215420963653,1.6105759335428818,0.11444560855348353,
MRKR,2021-01-12,1.86,1.9,1.85,1.88,71200,,,,,,1.880000000000004,1.6532072770229769,1.569822008226312,0.08338526879666497,
MRKR,2021-01-11,1.78,1.8039,1.76,1.785,86844,,,,,,1.7850000000000037,1.6119722364817002,1.5450077688844173,0.06696446759728293,
MRKR,2021-01-08,1.72,1.74,1.66,1.6998,23342,,,,,,1.6998000000000035,1.5805126431147367,1.525808390395171,0.054704252719566034,
