Symbol,Date,Open,High,Low,Close,Volume,CHW SMA_x,CHW spanTwelveEMA_x,CHW spanTwntySixEMA_x,CHW_x,CHW_y,CHW SMA_y,CHW spanTwelveEMA_y,CHW spanTwntySixEMA_y,CHW_x,CHW_y
CHW,2021-02-08,9.99,10.08,9.9621,10.0,32883,10.0,9.83355873407918,9.75246800040758,0.08109073367160136,0.05644811985860498,10.0,9.837112863509914,9.778490013539333,0.058622849970582536,0.056448119858604914
CHW,2021-02-05,10.05,10.1035,9.99,10.05,17222,10.05,9.803296685729944,9.732665440440185,0.07063124528975527,0.05028746640535632,10.05,9.807497020511716,9.760769214622476,0.04672780588923864,0.050287466405356245
CHW,2021-02-04,9.9,9.9126,9.89,9.89,9009,9.89,9.75844153768084,9.7072786756754,0.05116286200543918,0.04520152168425568,9.89,9.763405569695665,9.737630751792276,0.025774817903389646,0.04520152168425559
CHW,2021-02-03,9.83,9.89,9.83,9.88,21933,9.880000000000004,9.734521817259171,9.692660969729431,0.0418608475297404,0.0437111866039598,9.880000000000004,9.74038840054942,9.725441211935658,0.014947188613763984,0.04371118660395969
CHW,2021-02-02,9.77,9.81,9.77,9.81,11994,9.810000000000004,9.708071238579024,9.677673847307787,0.030397391271236533,0.04417377137251465,9.810000000000004,9.715004473376592,9.713076508890511,0.0019279644860805691,0.044173771372514506
CHW,2021-02-01,9.61,9.64,9.55,9.61,18293,9.61,9.689538736502481,9.66708775509241,0.022450981410070625,0.047617866397834184,9.61,9.697732559445065,9.705322629601751,-0.007590070156688001,0.047617866397834004
CHW,2021-01-29,9.65,9.66,9.52,9.53,32836,9.53,9.704000324957477,9.671654775499805,0.032345549457675205,0.05390958764477507,9.53,9.713683933889623,9.712948439969892,0.000735493919730601,0.053909587644774846
CHW,2021-01-28,9.69,9.72,9.6,9.68,6614,9.68,9.73563674767702,9.682987157539788,0.05264959013723214,0.059300597191550924,9.68,9.747081012778645,9.727584315167483,0.019496697611161903,0.05930059719155064
CHW,2021-01-27,9.65,9.7,9.22,9.575,74992,9.575000000000003,9.74575251998193,9.683226130142973,0.06252638983896297,0.060963348955130614,9.575000000000003,9.759277560556582,9.731391060380881,0.02788650017570049,0.06096334895513026
CHW,2021-01-26,9.84,9.863,9.8237,9.85,14212,9.850000000000003,9.776798432705922,9.691884220554408,0.08491421215151362,0.06057258873417341,9.850000000000003,9.792782571566873,9.743902345211351,0.048880226355519696,0.06057258873417341
CHW,2021-01-25,9.85,9.88,9.8,9.88,31662,9.880000000000004,9.763489056834274,9.679234958198762,0.08425409863551002,0.05448718287983837,9.880000000000004,9.782379402760847,9.73541453282826,0.046964869932587305,0.054487182879838364
CHW,2021-01-22,9.86,9.86,9.78,9.78,16318,9.780000000000003,9.74230524898596,9.663173754854663,0.07913149413129618,0.04704545394092,9.780000000000003,9.76463020326282,9.723847695454523,0.04078250780829862,0.04704545394092
CHW,2021-01-21,9.92,9.95,9.91,9.93,15328,9.93,9.735451657892497,9.653827655243036,0.08162400264946079,0.039023943893325516,9.93,9.761835694765153,9.719355511090884,0.04248018367426809,0.039023943893325516
CHW,2021-01-20,9.96,10.04,9.959,9.9927,26727,9.9927,9.70007923205477,9.63173386766248,0.06834536439229133,0.028373929204291694,9.9927,9.731260366540637,9.702503951978157,0.028756414562479907,0.028373929204291694
CHW,2021-01-19,9.72,9.7691,9.7,9.7496,33232,9.7496,9.64687545606473,9.602856577075476,0.044018878989252386,0.018381070407291783,9.7496,9.68372588772984,9.679288268136409,0.004437619593435471,0.018381070407291783
CHW,2021-01-19,9.72,9.7691,9.7,9.7496,33232,9.749600000000003,9.628198266258321,9.591117103241515,0.0370811630168042,0.01197161826180119,9.749600000000003,9.671748776407997,9.67366332958732,-0.0019145531793238746,0.01197161826180119
CHW,2021-01-15,9.71,9.7404,9.7,9.71,31340,9.710000000000004,9.606125223759832,9.578438471500835,0.02768675225899564,0.005694232073049994,9.710000000000004,9.657594008482178,9.667588395954306,-0.009994387472127995,0.005694232073049994
CHW,2021-01-14,9.62,9.68,9.6,9.669,21682,9.669000000000004,9.587238900807073,9.567913549220904,0.01932535158616844,0.0001961020265631385,9.669000000000004,9.648065646388028,9.664195467630652,-0.016129821242625297,0.0001961020265631385
CHW,2021-01-13,9.68,9.73,9.62,9.72,39201,9.720000000000002,9.57237324640836,9.559826633158577,0.012546613249783787,-0.004586210363338186,9.720000000000002,9.64425940027676,9.663811105041104,-0.01955170476434453,-0.004586210363338186
CHW,2021-01-12,9.64,9.6894,9.6223,9.63,18544,9.63,9.545532018482604,9.54701276381126,-0.0014807453286547199,-0.008869416266618236,9.63,9.63048838214526,9.659315993444393,-0.028827611299130137,-0.008869416266618236
CHW,2021-01-11,9.51,9.6,9.45,9.58,66135,9.58,9.53017420366126,9.54037378491616,-0.010199581254900279,-0.01071658400110867,9.58,9.630577178898944,9.661661272919943,-0.0310840940209971,-0.01071658400110867
CHW,2021-01-08,9.57,9.6227,9.57,9.6,15213,9.6,9.521114967963307,9.537203687709454,-0.01608871974614523,-0.010845834687660769,9.6,9.639773029607849,9.668194174753538,-0.028421145145690833,-0.010845834687660767
CHW,2021-01-07,9.39,9.49,9.39,9.4417,25092,9.4417,9.506772234865727,9.53217998272621,-0.025407747860482388,-0.009535113423039207,9.4417,9.647004489536544,9.67364970873382,-0.02664521919727569,-0.009535113423039207
