Symbol,Date,Open,High,Low,Close,Volume,GAB SMA_x,GAB spanTwelveEMA_x,GAB spanTwntySixEMA_x,GAB_x,GAB_y,GAB SMA_y,GAB spanTwelveEMA_y,GAB spanTwntySixEMA_y,GAB_x,GAB_y
GAB,2021-02-08,6.43,6.43,6.41,6.41,83225,6.41,6.314961411330107,6.288992664572035,0.02596874675807204,0.006125407557730842,6.41,6.31574044190076,6.293588532778716,0.022151909122044344,0.006125407557730839
GAB,2021-02-05,6.43,6.43,6.39,6.403,120534,6.402999999999999,6.297681667935581,6.2793120777377975,0.01836959019778384,0.0011645727576455422,6.402999999999999,6.298602340428171,6.284275615401013,0.014326725027157929,0.0011645727576455388
GAB,2021-02-04,6.4,6.41,6.38,6.405,80425,6.405,6.278532880287505,6.269417043956821,0.009115836330684246,-0.003136681602389032,6.405,6.279620947778748,6.274777664633094,0.004843283145653743,-0.003136681602389036
GAB,2021-02-03,6.38,6.395,6.35,6.365,139109,6.3649999999999975,6.255538858521597,6.258570407473366,-0.0030315489517684924,-0.0061998110856573505,6.3649999999999975,6.256824756465793,6.2643598778037415,-0.007535121337947538,-0.006199811085657356
GAB,2021-02-02,6.29,6.31,6.28,6.2899,89002,6.2898999999999985,6.235636832798253,6.250056040071236,-0.014419207272982959,-0.006991876619129565,6.289899999999999,6.237156530368664,6.25630866802804,-0.019152137659375512,-0.006991876619129571
GAB,2021-02-01,6.21,6.22,6.18,6.2002,110808,6.200199999999998,6.225770802397933,6.246868523276934,-0.02109772087900019,-0.005135043955666216,6.200199999999998,6.227566808617513,6.253621361470282,-0.026054552852770918,-0.005135043955666223
GAB,2021-01-29,6.18,6.18,6.125,6.15,64623,6.149999999999998,6.230420039197559,6.250602005139089,-0.02018196594153121,-0.0011443747248324994,6.149999999999998,6.232542592002513,6.257895070387906,-0.025352478385391564,-0.0011443747248325083
GAB,2021-01-28,6.15,6.175,6.1301,6.17,67007,6.169999999999996,6.245041864506204,6.258650165550216,-0.01360830104401156,0.0036150230793419572,6.169999999999996,6.2475503360029725,6.2665266760189375,-0.01897634001596682,0.003615023079341945
GAB,2021-01-27,6.18,6.18,6.05,6.1,186660,6.099999999999996,6.258685839870968,6.265742178794232,-0.007056338923264959,0.007920854110180335,6.099999999999996,6.261650397094422,6.274248810100452,-0.012598413006032594,0.007920854110180321
GAB,2021-01-26,6.23,6.26,6.23,6.235,87314,6.234999999999998,6.287537810756597,6.279001553097773,0.008536257658826152,0.011665152368541437,6.234999999999998,6.291041378384316,6.2881887149084905,0.002852663475825245,0.011665152368541418
GAB,2021-01-25,6.32,6.325,6.3,6.3081,69579,6.308099999999998,6.297090139985071,6.282521677345594,0.014568462639476644,0.0124473760459707,6.308099999999998,6.301230719908736,6.292443812101169,0.008786907807566635,0.012447376045970676
GAB,2021-01-22,6.32,6.35,6.315,6.33,98507,6.329999999999997,6.295088347255082,6.280475411533241,0.01461293572184186,0.011917104397593994,6.329999999999997,6.299981759892143,6.291191317069262,0.008790442822879108,0.011917104397593963
