Symbol,Date,Open,High,Low,Close,Volume,GNCA SMA_x,GNCA spanTwelveEMA_x,GNCA spanTwntySixEMA_x,GNCA_x,GNCA_y,GNCA SMA_y,GNCA spanTwelveEMA_y,GNCA spanTwntySixEMA_y,GNCA_x,GNCA_y
GNCA,2021-02-08,3.25,3.38,3.17,3.35,84062,3.35,3.109872633252005,2.939627347171345,0.1702452860806596,0.14656259989875225,3.35,3.117926141675212,3.0004177575653364,0.1175083841098754,0.14656259989875228
GNCA,2021-02-05,3.26,3.26,3.0849,3.0849,98026,3.0849000000000006,3.0662131120250966,2.9067975349450528,0.15941557708004386,0.1406419283532754,3.0849000000000006,3.0757308947070685,2.972451178170564,0.10327971653650493,0.14064192835327546
GNCA,2021-02-04,3.35,3.38,3.29,3.375,27993,3.3750000000000013,3.06281549602966,2.8925493377406566,0.1702661582890026,0.1359485161715833,3.3750000000000013,3.074063784653808,2.9634552724242087,0.11060851222959922,0.13594851617158338
GNCA,2021-02-03,3.19,3.24,3.103,3.24,111507,3.240000000000001,3.0060546771259613,2.8539532847599096,0.1521013923660517,0.12736910564222825,3.240000000000001,3.0193481091363186,2.9305316942181454,0.08881641491817316,0.12736910564222834
GNCA,2021-02-02,3.18,3.37,3.12,3.2802,550606,3.2802000000000007,2.963519163876136,2.823069547540701,0.14044961633543407,0.12118603396127235,3.2802000000000007,2.97922958352474,2.9057742297555964,0.07345535376914293,0.12118603396127249
GNCA,2021-02-01,2.88,2.98,2.85,2.9396,94508,2.9396000000000013,2.905940830035433,2.7864991113439577,0.1194417186914758,0.11637013836773186,2.9396000000000013,2.9245076896201474,2.8758201681360447,0.04868752148410272,0.11637013836773187
GNCA,2021-01-29,2.91,3.12,2.91,3.0402,109803,3.0402000000000013,2.899820980950967,2.774251040251474,0.125569940699493,0.11560224328679596,3.0402000000000013,2.9217636331874477,2.8707177815869285,0.05104585160051922,0.115602243286796
GNCA,2021-01-28,2.91,2.99,2.85,2.8609,144829,2.8609000000000013,2.8742975229420518,2.752975123471592,0.12132239947045995,0.11311031893362168,2.8609000000000013,2.9002297483124373,2.8571592041138816,0.04307054419855527,0.11311031893362175
GNCA,2021-01-27,2.89,2.89,2.71,2.8,71099,2.8000000000000016,2.876733436204243,2.744341133349319,0.1323923028549241,0.11105729879941208,2.8000000000000016,2.907380611641972,2.8568599404429924,0.05052067119897918,0.11105729879941217
GNCA,2021-01-26,2.94,3.03,2.92,2.9999,50974,2.999900000000001,2.89068497005956,2.739888424017265,0.15079654604229464,0.10572354778553407,2.999900000000001,2.926904359213239,2.8614087356784315,0.0654956235348072,0.10572354778553418
