Symbol,Date,Open,High,Low,Close,Volume,KERN SMA,KERN spanTwelveEMA,KERN spanTwntySixEMA,KERN_x,KERN_y
KERN,2020-11-19,2.75,2.7632,2.61,2.67,287437,2.67,2.9810129693874288,3.195945586565561,-0.21493261717813272,-0.213391072053234
KERN,2020-11-18,2.86,2.95,2.7901,2.8201,144933,2.8201,3.037560782003325,3.2380212334908065,-0.20046045148748126,-0.2130056857720094
KERN,2020-11-17,2.83,2.95,2.76,2.9013,390946,2.9013,3.07709910600393,3.271454932170071,-0.1943558261661411,-0.21614199434314132
KERN,2020-11-16,2.88,3.04,2.8,2.845,226465,2.845,3.1090625798228264,3.3010673267436768,-0.19200474692085034,-0.22158853638739134
KERN,2020-11-13,2.86,2.87,2.74,2.83,183587,2.83,3.157073957972431,3.3375527128831712,-0.1804787549107396,-0.22898448375402658
KERN,2020-11-12,3.0,3.12,2.76,3.1,508388,3.1,3.216541950331055,3.3781569299138248,-0.1616149795827697,-0.2411109159648482
KERN,2020-11-11,3.5,3.5,3.17,3.2236,464630,3.223599999999999,3.2377313958457923,3.4004094843069304,-0.16267808846113807,-0.26098490006036784
KERN,2020-11-10,3.72,4.19,3.65,4.0456,690836,4.0456,3.2403007405450275,3.414554243051485,-0.17425350250645755,-0.2855616029601753
KERN,2020-11-09,4.76,4.86,3.8,3.87,1513545,3.87,3.0938826933713965,3.3640705824956036,-0.27018788912420755,-0.3133886280736047
KERN,2020-11-06,3.42,3.64,3.25,3.34,1442262,3.34,2.95277045580256,3.3235962290952523,-0.37082577329269295,-0.3241888128109541
KERN,2020-11-05,2.6,2.75,2.52,2.68,192660,2.68,2.882365084130297,3.322283927422873,-0.43991884329257536,-0.31252957269051945
KERN,2020-11-04,2.4,2.4,2.28,2.3,29746,2.2999999999999994,2.919158735790352,3.3736666416167034,-0.4545079058263513,-0.2806822550400053
KERN,2020-11-03,2.52,2.53,2.42,2.4383,89917,2.438299999999999,3.0317330513885974,3.459559972946039,-0.4278269215574415,-0.23722584234341887
KERN,2020-11-02,2.38,2.4192,2.335,2.39,30468,2.3899999999999992,3.139629969822888,3.5412607707817214,-0.4016308009588343,-0.1895755725399132
KERN,2020-10-30,2.35,2.44,2.35,2.42,31141,2.4199999999999986,3.2759263279725035,3.6333616324442595,-0.3574353044717564,-0.1365617654351831
KERN,2020-10-29,2.3,2.38,2.28,2.3569,75712,2.3568999999999987,3.431549296694777,3.7304305630398007,-0.29888126634502354,-0.08134338067603988
KERN,2020-10-28,2.35,2.39,2.17,2.245,765612,2.2449999999999988,3.6269400779120087,3.8403130080829846,-0.21337293017097547,-0.026958909258793972
KERN,2020-10-27,3.43,3.4504,3.22,3.29,110937,3.2899999999999983,3.8782019102596466,3.9679380487296227,-0.08973613846997619,0.01964459596925152
KERN,2020-10-26,3.77,3.8,3.7,3.77,8074,3.7699999999999987,3.985147712125037,4.022173092627993,-0.03702538050295568,0.04698977957905844
KERN,2020-10-23,3.72,3.7458,3.67,3.69,13495,3.689999999999999,4.024265477965954,4.042346940038232,-0.018081462072279564,0.06799356959956197
KERN,2020-10-22,3.69,3.71,3.6,3.71,7173,3.7099999999999986,4.085041019414308,4.070534695241291,0.014506324173017228,0.08951232751752214
KERN,2020-10-21,3.72,3.78,3.52,3.5573,24887,3.557299999999999,4.153230295671455,4.099377470860594,0.0538528248108614,0.10826382835364837
KERN,2020-10-20,4.06,4.1,3.8111,3.8301,108026,3.8301,4.2615812585208115,4.142743668529441,0.11883758999136962,0.1218665792393451
KERN,2020-10-19,4.42,4.45,4.3701,4.44,10365,4.44,4.340032396433685,4.1677551620117965,0.17227723442188836,0.12262382655133874
KERN,2020-10-16,4.47,4.58,4.47,4.5145,10401,4.514499999999999,4.321856468512537,4.1459755749727405,0.1758808935397962,0.11021047458370131
KERN,2020-10-15,4.51,4.53,4.42,4.49,12231,4.49,4.286830371878453,4.1164936209705605,0.17033675090789302,0.09379286984467756
KERN,2020-10-14,4.83,4.89,4.8,4.8,11490,4.799999999999999,4.249890439492717,4.086613110648203,0.1632773288445124,0.07465689957887392
KERN,2020-10-13,4.7,4.74,4.5005,4.565,28856,4.564999999999999,4.149870519400483,4.0295421595000604,0.12032835990042212,0.05250179226246407
KERN,2020-10-12,4.53,4.6,4.26,4.3573,37681,4.3573,4.074392432018752,3.986705532260065,0.08768689975868682,0.03554515035297455
KERN,2020-10-09,4.16,4.59,4.1,4.4928,273737,4.492799999999999,4.022954692385798,3.95705797484087,0.06589671754492787,0.022509713001546486
KERN,2020-10-08,4.07,4.09,4.0,4.0,20037,3.999999999999999,3.9375282728195793,3.91419861282814,0.02332965999143921,0.011662961865701139
KERN,2020-10-07,3.93,3.965,3.93,3.93,5671,3.93,3.9261697769685937,3.907334501854392,0.018835275114202243,0.00874628733426662
KERN,2020-10-06,4.06,4.1279,4.0,4.0,5331,4.0,3.925473372781065,3.905521262002743,0.01995211077832204,0.006224040389282823
KERN,2020-10-05,4.06,4.06,3.9461,4.06,16707,4.059999999999999,3.9119230769230766,3.8979629629629615,0.013960113960114208,0.002792022792023019
KERN,2020-10-02,3.95,3.9530000000000003,3.85,3.885,29824,3.884999999999999,3.885,3.885,0.0,0.0
