Symbol,Date,Open,High,Low,Close,Volume,BTBT SMA,BTBT spanTwelveEMA,BTBT spanTwntySixEMA,BTBT_x,BTBT_y
BTBT,2020-10-26,3.83,3.9897,3.83,3.9033,4534,3.9033,4.035659599849351,4.11957357599987,-0.08391397615051854,-0.09329011091826997
BTBT,2020-10-22,4.05,4.26,4.02,4.185,54083,4.1850000000000005,4.059724981640143,4.13687546207986,-0.07715048043971784,-0.0956341446102078
BTBT,2020-10-21,3.985,3.985,3.8501,3.985,1385,3.985,4.036947705574713,4.133025499046249,-0.09607779347153578,-0.1002550606528305
BTBT,2020-10-20,4.08,4.08,4.004,4.004,1386,4.004,4.046392742951934,4.144867538969948,-0.09847479601801457,-0.10129937744815418
BTBT,2020-10-19,3.6,3.94,3.6,3.94,1312,3.94,4.05410051439774,4.156136942087544,-0.1020364276898036,-0.10200552280568907
BTBT,2020-10-16,3.98,3.9827,3.98,3.9827,300,3.982699999999999,4.074846062470057,4.1734278974545465,-0.09858183498449068,-0.10199779658466043
BTBT,2020-10-15,4.08,4.08,3.98,3.98,2100,3.979999999999999,4.091599892010067,4.188686129250911,-0.09708623724084386,-0.10285178698470308
BTBT,2020-10-14,3.94,4.04,3.94,4.01,900,4.009999999999998,4.111890781466443,4.205381019590984,-0.0934902381245406,-0.10429317442066788
BTBT,2020-10-13,4.0,4.17,3.9751,4.12,1400,4.119999999999999,4.130416378096706,4.221011501158262,-0.09059512306155604,-0.10699390849469968
BTBT,2020-10-12,4.005,4.15,4.005,4.12,13487,4.119999999999998,4.13231026502338,4.229092421250924,-0.09678215622754394,-0.11109360485298558
BTBT,2020-10-09,3.92,4.0932,3.92,4.0932,1402,4.093199999999999,4.13454849502763,4.237819814950997,-0.10327131992336724,-0.11467146700934576
BTBT,2020-10-08,4.025,4.1545,4.02,4.1545,1300,4.154499999999998,4.142066403214471,4.249389400147077,-0.10732299693260572,-0.11752150378084039
BTBT,2020-10-07,4.05,4.24,4.05,4.14,5860,4.139999999999998,4.139805749253466,4.256980552158844,-0.11717480290537717,-0.12007113049289905
BTBT,2020-10-06,3.58,4.14,3.57,3.8129,3947,3.812899999999998,4.139770430935915,4.266338996331552,-0.12656856539563674,-0.12079521238977928
BTBT,2020-10-05,3.97,4.27,3.97,4.27,628,4.269999999999999,4.199201418378808,4.302614116038076,-0.10341269765926776,-0.11935187413831488
BTBT,2020-10-02,3.84,4.3,3.84,4.3,1682,4.299999999999999,4.186328948993137,4.305223245321121,-0.11889429632798533,-0.12333666825807645
BTBT,2020-10-01,4.11,4.15,4.1,4.1,300,4.099999999999999,4.165661485173708,4.305641104946812,-0.13997961977310425,-0.12444726124059943
BTBT,2020-09-30,4.46,4.46,4.1056,4.11,13094,4.109999999999999,4.177599937023474,4.322092393342556,-0.14449245631908347,-0.12056417160747343
BTBT,2020-09-29,4.11,4.11,4.05,4.05,5489,4.05,4.189890834664103,4.339059784809962,-0.14916895014585752,-0.11458210042957113
BTBT,2020-09-28,4.14,4.26,4.0521,4.2,6384,4.2,4.2153255318757585,4.362184567594759,-0.1468590357189994,-0.10593538800049931
BTBT,2020-09-25,3.94,3.95,3.94,3.95,1103,3.95,4.218111992216806,4.37515933300234,-0.15704734078553262,-0.09570447607087407
BTBT,2020-09-24,3.75,3.9,3.675,3.9,4897,3.9,4.266859627165317,4.409172079642526,-0.14231245247720906,-0.08036875989220899
BTBT,2020-09-23,3.88,3.88,3.88,3.88,225,3.88,4.333561377559011,4.4499058460139285,-0.1163444684549173,-0.06488283674595896
BTBT,2020-09-22,4.2776,4.28,4.2285,4.2285,1100,4.2285,4.41602708256974,4.495498313695043,-0.07947123112530274,-0.052017428818719375
BTBT,2020-09-21,4.34,4.45,4.34,4.45,343,4.449999999999998,4.450122915764238,4.5168581787906446,-0.06673526302640731,-0.045153978242073525
BTBT,2020-09-18,4.34,4.34,4.146,4.3,11044,4.3,4.450145264085008,4.522206833093897,-0.07206156900888773,-0.0397586570459903
BTBT,2020-09-17,4.16,4.22,4.16,4.1991,1353,4.199099999999999,4.477444403009557,4.539983379741408,-0.06253897673185271,-0.03168292905526572
BTBT,2020-09-16,4.31,4.41,4.27,4.365,27933,4.365,4.528052476284022,4.567254050120721,-0.0392015738367002,-0.023968917136119195
BTBT,2020-09-15,4.6,4.6,4.5899,4.6,2800,4.6,4.5576983810629335,4.583434374130379,-0.02573599306744434,-0.020160752960974165
BTBT,2020-09-14,4.46,4.58,4.4101,4.58,6432,4.58,4.5500071776198325,4.582109124060809,-0.03210194644097708,-0.0187669429343564
BTBT,2020-09-11,4.12,4.58,4.12,4.45,4393,4.450000000000001,4.544553937187073,4.582277853985673,-0.03772391679859943,-0.015433192057701448
BTBT,2020-09-10,4.5,4.64,4.455,4.455,2510,4.455000000000001,4.561745562130177,4.592860082304528,-0.031114520174349455,-0.009860510872476951
BTBT,2020-09-09,4.5,4.52,4.31,4.34,14044,4.340000000000002,4.581153846153846,4.603888888888889,-0.02273504273504301,-0.004547008547008602
BTBT,2020-09-08,4.5,4.63,4.5,4.625,2164,4.625000000000002,4.625,4.625,0.0,0.0
BTBT,2020-09-08,4.5,4.63,4.5,4.625,2164,4.625000000000002,4.625,4.625,0.0,0.0
