Symbol,Date,Open,High,Low,Close,Volume,EPWCF SMA,EPWCF spanTwelveEMA,EPWCF spanTwntySixEMA,EPWCF_x,EPWCF_y
EPWCF,2021-01-04,0.2294,0.235,0.2119,0.2119,97950,0.2119,0.21247157494316185,0.1863894342812485,0.02608214066191333,0.03387726177284969
EPWCF,2020-12-31,0.2,0.205,0.2,0.2,103667,0.20000000000000004,0.21257549766010034,0.1843485890237484,0.02822690863635197,0.035826042050583776
EPWCF,2020-12-30,0.2135,0.2149,0.2023,0.2054,35493,0.20540000000000005,0.21486195178011855,0.18309647614564825,0.031765475634470325,0.03772582540414174
EPWCF,2020-12-29,0.242,0.242,0.215,0.2175,79063,0.21750000000000005,0.21658230664923106,0.1813121942373001,0.035270112411930926,0.0392159128465596
EPWCF,2020-12-28,0.2176,0.253,0.2176,0.23,187232,0.2300000000000001,0.2164154533127276,0.1784171697762841,0.037998283536443495,0.04020236295521676
EPWCF,2020-12-28,0.2176,0.253,0.2176,0.23,187232,0.2300000000000001,0.2139455357332236,0.17429054335838684,0.03965499237483672,0.040753382809910074
EPWCF,2020-12-24,0.2435,0.2435,0.22662,0.22662,18988,0.22662,0.21102654223017328,0.16983378682705774,0.04119275540311551,0.0410279804186784
EPWCF,2020-12-23,0.25,0.25,0.2242,0.2242,57727,0.2242,0.2081913680902048,0.1652908897732224,0.042900478316982384,0.040986786672569116
EPWCF,2020-12-22,0.2,0.228,0.2,0.228,123524,0.2280000000000001,0.20528070774296925,0.16057816095508018,0.04470254678788907,0.04050836376146579
EPWCF,2020-12-21,0.2315,0.2315,0.2078,0.21761,121823,0.21761000000000005,0.2011499273326,0.1551844138314866,0.04596551350111341,0.03945981800485997
EPWCF,2020-12-18,0.29375,0.29375,0.225,0.23874,145612,0.2387400000000001,0.19815718684761816,0.15019036693800553,0.047966819909612664,0.0378333941307966
EPWCF,2020-12-18,0.29375,0.29375,0.225,0.23874,145612,0.23874,0.19077849354718512,0.14310639629304595,0.04767209725413915,0.03530003768609259
EPWCF,2020-12-16,0.24,0.25,0.2068,0.2182,172412,0.2182,0.18205821964667332,0.13545570799648965,0.0466025116501837,0.03220702279408094
EPWCF,2020-12-15,0.2681,0.282,0.25,0.2656,283815,0.2656,0.1754869868551594,0.12883616463620884,0.04665082221895056,0.02860815058005526
EPWCF,2020-12-14,0.22,0.24,0.22,0.23835,200900,0.23835,0.15910280264700655,0.11789505780710555,0.041207744839901,0.024097482670331433
EPWCF,2020-12-11,0.2,0.223,0.19,0.22,243025,0.22000000000000008,0.14469422131009865,0.10825866243167401,0.03643555887842463,0.019819917127939037
EPWCF,2020-12-10,0.1685,0.17,0.132,0.1615,638807,0.16150000000000006,0.13100226154829836,0.09931935542620793,0.03168290612209045,0.015666006690317633
EPWCF,2020-12-09,0.23,0.23199999999999998,0.209,0.21368800000000002,165902,0.21368800000000007,0.12545721819344352,0.09434490386030454,0.031112314333138973,0.011661781832374431
EPWCF,2020-12-08,0.318,0.318,0.25,0.29,1652787,0.29000000000000004,0.1094152578649787,0.08479745616912891,0.02461780169584979,0.006799148707183294
EPWCF,2020-12-07,0.12,0.1506,0.12,0.14,1102222,0.14000000000000007,0.07658166838588393,0.06838125266265924,0.008200415723224691,0.0023444854600166696
EPWCF,2020-12-04,0.0745,0.0797,0.068,0.0797,239353,0.07970000000000005,0.06505106263786281,0.06265175287567197,0.0023993097621908266,0.0008805028942146641
EPWCF,2020-12-03,0.075,0.075,0.0612,0.0612,111270,0.06120000000000006,0.0623876194811106,0.06128789310572575,0.0010997263753848505,0.00050080117722062
EPWCF,2020-12-02,0.069,0.071,0.069,0.071,140653,0.07100000000000004,0.06260355029585797,0.06129492455418381,0.0013086257416741742,0.00035106987767956235
EPWCF,2020-12-01,0.06548999999999999,0.067,0.061,0.067,30512,0.06700000000000005,0.06107692307692308,0.06051851851851851,0.0005584045584045642,0.00011168091168091283
EPWCF,2020-11-30,0.07,0.0707,0.06,0.06,353500,0.06000000000000005,0.06,0.06,0.0,0.0
