Symbol,Date,Open,High,Low,Close,Volume,LWLG SMA,LWLG spanTwelveEMA,LWLG spanTwntySixEMA,LWLG_x,LWLG_y
LWLG,2021-01-04,0.93,0.93,0.91,0.91995,16862,0.91995,0.9200263717823146,0.9037655511764816,0.016260820605833115,0.015785359054451595
LWLG,2020-12-31,0.925,0.935,0.9121,0.935,36758,0.935,0.9200402575609172,0.9024707952706,0.0175694622903172,0.01566649366660624
LWLG,2020-12-30,0.935,0.935,0.92,0.935,16300,0.935,0.9173203043901751,0.8998684588922481,0.017451845497926888,0.015190751510678502
LWLG,2020-12-29,0.95,0.965,0.93,0.93005,26561,0.93005,0.9141058142792976,0.8970579356036279,0.017047878675669814,0.014625478013866378
LWLG,2020-12-28,0.9925,0.995,0.88,0.97,73595,0.97,0.9112068714209882,0.8944185704519181,0.01678830096907014,0.014019877848415544
LWLG,2020-12-28,0.9925,0.995,0.88,0.97,73595,0.97,0.9005172116793496,0.8883720560880716,0.012145155591278043,0.013327772068251895
LWLG,2020-12-24,0.86,0.89,0.86,0.88,24150,0.8800000000000001,0.8878839774392313,0.8818418205751173,0.0060421568641140224,0.013623426187495355
LWLG,2020-12-23,0.88,0.88,0.85,0.85,7800,0.85,0.8893174278827278,0.8819891662211268,0.007328261661601054,0.015518743518340686
LWLG,2020-12-22,0.86,0.875,0.86,0.875,40670,0.8750000000000001,0.8964660511341329,0.8845482995188169,0.011917751615316052,0.017566363982525594
LWLG,2020-12-21,0.8875,0.895,0.88,0.88,27613,0.8800000000000001,0.9003689695221571,0.8853121634803223,0.01505680604183479,0.018978517074327978
LWLG,2020-12-18,0.8809999999999999,0.91,0.88,0.889025,22518,0.8890250000000001,0.9040724185261856,0.8857371365587481,0.0183352819674375,0.019958944832451274
LWLG,2020-12-17,0.89,0.89,0.88,0.89,26910,0.8900000000000001,0.9068083128036738,0.8854741074834479,0.021334205320225896,0.020364860548704716
LWLG,2020-12-16,0.8825,0.915,0.86,0.89,46550,0.8900000000000002,0.9098643696770692,0.8851120360821237,0.02475233359494533,0.020122524355824418
LWLG,2020-12-15,0.92,0.92,0.895,0.9009999999999999,24023,0.9009999999999999,0.913476073254718,0.8847209989686936,0.028755074286024418,0.01896507204604416
LWLG,2020-12-14,0.9699,0.98,0.938,0.97,74340,0.97,0.9157444502101212,0.8834186788861891,0.03232577132393222,0.016517571486049095
LWLG,2020-12-11,0.9225,0.99,0.89,0.975,48791,0.975,0.9058798047937796,0.8764921731970843,0.029387631596695437,0.01256552152657834
LWLG,2020-12-10,0.96,0.97,0.9009999999999999,0.9009999999999999,51806,0.9009999999999999,0.8933124965744669,0.868611547052851,0.024700949521615837,0.00835999400904909
LWLG,2020-12-09,1.075,1.08,1.05,1.05,37648,1.0500000000000005,0.8919147686789154,0.8660204708170791,0.02589429786183628,0.004274755130907403
LWLG,2020-12-08,0.92,1.02,0.915,1.02,136116,1.0200000000000002,0.8631719993478092,0.8513021084824455,0.011869890865363721,-0.0011301305518248168
LWLG,2020-12-07,0.88,0.89,0.8740000000000001,0.89,30813,0.8900000000000001,0.8346578174110473,0.8378062771610411,-0.0031484597499937816,-0.004380135906121951
LWLG,2020-12-04,0.805,0.83,0.795,0.825,12100,0.8250000000000001,0.8245956023948741,0.8336307793339243,-0.009035176939050205,-0.004688054945153993
LWLG,2020-12-03,0.83,0.84,0.79,0.79,12717,0.7900000000000003,0.8245220755575785,0.8343212416806381,-0.009799166123059644,-0.0036012744466799394
LWLG,2020-12-02,0.78,0.795,0.78,0.795,4660,0.7950000000000004,0.8307988165680473,0.8378669410150892,-0.007068124447041856,-0.0020518015275850132
LWLG,2020-12-01,0.8,0.815,0.7909999999999999,0.795,30587,0.7950000000000003,0.8373076923076923,0.8412962962962963,-0.003988603988604011,-0.0007977207977208023
LWLG,2020-11-30,0.83,0.845,0.83,0.845,15940,0.8450000000000001,0.845,0.845,0.0,0.0
